Record	GBK	Record_Type	Record_Number	CC	Family	contig	region_number	accession
NZ_JBTMWU010000002.1.region001.gbk_region_1	NZ_JBTMWU010000002.1.region001	region	1	5	FAM_00005	NZ_JBTMWU010000002.1	1	GCF_054489375.1
NZ_CP104965.1.region003.gbk_region_3	NZ_CP104965.1.region003	region	3	5	FAM_00006	NZ_CP104965.1	3	GCF_025452235.1
NZ_BSNG01000001.1.region002.gbk_region_2	NZ_BSNG01000001.1.region002	region	2	5	FAM_00006	NZ_BSNG01000001.1	2	GCF_030159855.1
NZ_JBJDRE010000003.1.region001.gbk_region_1	NZ_JBJDRE010000003.1.region001	region	1	5	FAM_00006	NZ_JBJDRE010000003.1	1	GCF_044987315.1
NZ_JNNO01000023.1.region001.gbk_region_1	NZ_JNNO01000023.1.region001	region	1	5	FAM_00006	NZ_JNNO01000023.1	1	GCF_000735585.1
NZ_JAMZCU010000002.1.region002.gbk_region_2	NZ_JAMZCU010000002.1.region002	region	2	34	FAM_00007	NZ_JAMZCU010000002.1	2	GCF_024273195.1
NZ_JAMWDU010000002.1.region001.gbk_region_1	NZ_JAMWDU010000002.1.region001	region	1	34	FAM_00007	NZ_JAMWDU010000002.1	1	GCF_024273205.1
NZ_LMQU01000010.1.region001.gbk_region_1	NZ_LMQU01000010.1.region001	region	1	42	FAM_00008	NZ_LMQU01000010.1	1	GCF_001425445.1
NZ_JAIMBX010000002.1.region001.gbk_region_1	NZ_JAIMBX010000002.1.region001	region	1	42	FAM_00008	NZ_JAIMBX010000002.1	1	GCF_032907385.1
NZ_CP104007.1.region001.gbk_region_1	NZ_CP104007.1.region001	region	1	42	FAM_00008	NZ_CP104007.1	1	GCF_029201545.1
NZ_LMLO01000019.1.region001.gbk_region_1	NZ_LMLO01000019.1.region001	region	1	42	FAM_00008	NZ_LMLO01000019.1	1	GCF_001421945.1
NZ_CP059902.1.region005.gbk_region_5	NZ_CP059902.1.region005	region	5	46	FAM_00009	NZ_CP059902.1	5	GCF_014127105.1
NZ_JABBDZ010000002.1.region002.gbk_region_2	NZ_JABBDZ010000002.1.region002	region	2	46	FAM_00009	NZ_JABBDZ010000002.1	2	GCF_012847305.1
NZ_JAENGO010000005.1.region001.gbk_region_1	NZ_JAENGO010000005.1.region001	region	1	46	FAM_00009	NZ_JAENGO010000005.1	1	GCF_016595685.1
NZ_JAEMNZ010000020.1.region001.gbk_region_1	NZ_JAEMNZ010000020.1.region001	region	1	46	FAM_00009	NZ_JAEMNZ010000020.1	1	GCF_016461625.1
NZ_JAEMEB010000015.1.region001.gbk_region_1	NZ_JAEMEB010000015.1.region001	region	1	46	FAM_00009	NZ_JAEMEB010000015.1	1	GCF_016457235.1
NZ_JAMWDU010000002.1.region002.gbk_region_2	NZ_JAMWDU010000002.1.region002	region	2	46	FAM_00010	NZ_JAMWDU010000002.1	2	GCF_024273205.1
NZ_CP094375.1.region003.gbk_region_3	NZ_CP094375.1.region003	region	3	46	FAM_00010	NZ_CP094375.1	3	GCF_056341075.1
NZ_JAEKMH010000004.1.region001.gbk_region_1	NZ_JAEKMH010000004.1.region001	region	1	46	FAM_00010	NZ_JAEKMH010000004.1	1	GCF_016411825.1
NZ_FOMB01000001.1.region001.gbk_region_1	NZ_FOMB01000001.1.region001	region	1	46	FAM_00010	NZ_FOMB01000001.1	1	GCF_900112505.1
NZ_JAMZCU010000002.1.region001.gbk_region_1	NZ_JAMZCU010000002.1.region001	region	1	46	FAM_00010	NZ_JAMZCU010000002.1	1	GCF_024273195.1
NZ_JACDXV010000002.1.region001.gbk_region_1	NZ_JACDXV010000002.1.region001	region	1	46	FAM_00010	NZ_JACDXV010000002.1	1	GCF_015158295.1
NZ_JBHRYD010000001.1.region002.gbk_region_2	NZ_JBHRYD010000001.1.region002	region	2	46	FAM_00010	NZ_JBHRYD010000001.1	2	GCF_042648785.1
NZ_FXWK01000002.1.region002.gbk_region_2	NZ_FXWK01000002.1.region002	region	2	46	FAM_00010	NZ_FXWK01000002.1	2	GCF_900177655.1
NZ_CP080590.1.region007.gbk_region_7	NZ_CP080590.1.region007	region	7	46	FAM_00010	NZ_CP080590.1	7	GCF_019504385.1
NZ_JBKJHF010000003.1.region001.gbk_region_1	NZ_JBKJHF010000003.1.region001	region	1	46	FAM_00010	NZ_JBKJHF010000003.1	1	GCF_046614475.1
NZ_JAVKFR010000006.1.region001.gbk_region_1	NZ_JAVKFR010000006.1.region001	region	1	46	FAM_00011	NZ_JAVKFR010000006.1	1	GCF_040223715.1
NZ_PYVZ01000009.1.region001.gbk_region_1	NZ_PYVZ01000009.1.region001	region	1	46	FAM_00011	NZ_PYVZ01000009.1	1	GCF_003056405.1
NZ_CP170082.1.region002.gbk_region_2	NZ_CP170082.1.region002	region	2	46	FAM_00011	NZ_CP170082.1	2	GCF_042181575.1
NZ_CP026747.1.region003.gbk_region_3	NZ_CP026747.1.region003	region	3	46	FAM_00011	NZ_CP026747.1	3	GCF_002949085.1
NZ_WQRF01000002.1.region001.gbk_region_1	NZ_WQRF01000002.1.region001	region	1	46	FAM_00011	NZ_WQRF01000002.1	1	GCF_009758415.1
NZ_JAPWHK010000008.1.region001.gbk_region_1	NZ_JAPWHK010000008.1.region001	region	1	46	FAM_00012	NZ_JAPWHK010000008.1	1	GCF_027214225.1
NZ_CP118245.1.region002.gbk_region_2	NZ_CP118245.1.region002	region	2	46	FAM_00012	NZ_CP118245.1	2	GCF_028816435.1
NZ_JAGXTP010000003.1.region001.gbk_region_1	NZ_JAGXTP010000003.1.region001	region	1	46	FAM_00012	NZ_JAGXTP010000003.1	1	GCF_018334155.1
NZ_CM147870.1.region001.gbk_region_1	NZ_CM147870.1.region001	region	1	46	FAM_00012	NZ_CM147870.1	1	GCF_055808475.1
NZ_JBNMEO010000006.1.region001.gbk_region_1	NZ_JBNMEO010000006.1.region001	region	1	46	FAM_00012	NZ_JBNMEO010000006.1	1	GCF_051302775.1
NZ_LAJF01000054.1.region001.gbk_region_1	NZ_LAJF01000054.1.region001	region	1	46	FAM_00013	NZ_LAJF01000054.1	1	GCF_000970435.1
NZ_FQVC01000005.1.region001.gbk_region_1	NZ_FQVC01000005.1.region001	region	1	46	FAM_00013	NZ_FQVC01000005.1	1	GCF_900128975.1
NZ_JBTMWU010000001.1.region002.gbk_region_2	NZ_JBTMWU010000001.1.region002	region	2	46	FAM_00014	NZ_JBTMWU010000001.1	2	GCF_054489375.1
NZ_JBTMWV010000009.1.region001.gbk_region_1	NZ_JBTMWV010000009.1.region001	region	1	46	FAM_00014	NZ_JBTMWV010000009.1	1	GCF_054489345.1
NZ_JAFKHC010000005.1.region001.gbk_region_1	NZ_JAFKHC010000005.1.region001	region	1	203	FAM_00015	NZ_JAFKHC010000005.1	1	GCF_017307475.1
NZ_MKVA01000003.1.region001.gbk_region_1	NZ_MKVA01000003.1.region001	region	1	203	FAM_00015	NZ_MKVA01000003.1	1	GCF_001899075.1
NZ_LMLO01000024.1.region001.gbk_region_1	NZ_LMLO01000024.1.region001	region	1	232	FAM_00016	NZ_LMLO01000024.1	1	GCF_001421945.1
NZ_JCACVZ010000001.1.region002.gbk_region_2	NZ_JCACVZ010000001.1.region002	region	2	232	FAM_00016	NZ_JCACVZ010000001.1	2	GCF_059070485.1
NZ_FPCK01000001.1.region002.gbk_region_2	NZ_FPCK01000001.1.region002	region	2	232	FAM_00016	NZ_FPCK01000001.1	2	GCF_900116545.1
NZ_JBMQPQ010000014.1.region001.gbk_region_1	NZ_JBMQPQ010000014.1.region001	region	1	232	FAM_00016	NZ_JBMQPQ010000014.1	1	GCF_053550215.1
NZ_JQGC01000033.1.region001.gbk_region_1	NZ_JQGC01000033.1.region001	region	1	232	FAM_00016	NZ_JQGC01000033.1	1	GCF_000743575.1
NZ_CDRNJH010000001.1.region003.gbk_region_3	NZ_CDRNJH010000001.1.region003	region	3	232	FAM_00016	NZ_CDRNJH010000001.1	3	GCF_977014175.1
NZ_CAXUPK020000005.1.region001.gbk_region_1	NZ_CAXUPK020000005.1.region001	region	1	232	FAM_00016	NZ_CAXUPK020000005.1	1	GCF_964252865.1
NZ_LMHK01000001.1.region001.gbk_region_1	NZ_LMHK01000001.1.region001	region	1	232	FAM_00016	NZ_LMHK01000001.1	1	GCF_001427875.1
NZ_JAIMBX010000001.1.region001.gbk_region_1	NZ_JAIMBX010000001.1.region001	region	1	232	FAM_00016	NZ_JAIMBX010000001.1	1	GCF_032907385.1
NZ_LMQU01000013.1.region001.gbk_region_1	NZ_LMQU01000013.1.region001	region	1	232	FAM_00016	NZ_LMQU01000013.1	1	GCF_001425445.1
NZ_WQRF01000001.1.region004.gbk_region_4	NZ_WQRF01000001.1.region004	region	4	232	FAM_00017	NZ_WQRF01000001.1	4	GCF_009758415.1
NZ_CP026747.1.region004.gbk_region_4	NZ_CP026747.1.region004	region	4	232	FAM_00017	NZ_CP026747.1	4	GCF_002949085.1
NZ_JAMZCU010000003.1.region001.gbk_region_1	NZ_JAMZCU010000003.1.region001	region	1	232	FAM_00017	NZ_JAMZCU010000003.1	1	GCF_024273195.1
NZ_CP146608.1.region005.gbk_region_5	NZ_CP146608.1.region005	region	5	232	FAM_00017	NZ_CP146608.1	5	GCF_037113415.1
NZ_JAMWDU010000003.1.region001.gbk_region_1	NZ_JAMWDU010000003.1.region001	region	1	232	FAM_00017	NZ_JAMWDU010000003.1	1	GCF_024273205.1
NZ_PYVZ01000019.1.region001.gbk_region_1	NZ_PYVZ01000019.1.region001	region	1	232	FAM_00017	NZ_PYVZ01000019.1	1	GCF_003056405.1
NZ_STGC01000005.1.region004.gbk_region_4	NZ_STGC01000005.1.region004	region	4	232	FAM_00018	NZ_STGC01000005.1	4	GCF_005222805.1
NZ_JBNMEO010000093.1.region001.gbk_region_1	NZ_JBNMEO010000093.1.region001	region	1	232	FAM_00018	NZ_JBNMEO010000093.1	1	GCF_051302775.1
NZ_JAGXTP010000001.1.region002.gbk_region_2	NZ_JAGXTP010000001.1.region002	region	2	232	FAM_00018	NZ_JAGXTP010000001.1	2	GCF_018334155.1
NZ_CP045422.1.region004.gbk_region_4	NZ_CP045422.1.region004	region	4	232	FAM_00018	NZ_CP045422.1	4	GCF_014926585.1
NZ_CM147870.1.region003.gbk_region_3	NZ_CM147870.1.region003	region	3	232	FAM_00018	NZ_CM147870.1	3	GCF_055808475.1
NZ_JAPWHK010000003.1.region001.gbk_region_1	NZ_JAPWHK010000003.1.region001	region	1	232	FAM_00018	NZ_JAPWHK010000003.1	1	GCF_027214225.1
NZ_CP118245.1.region006.gbk_region_6	NZ_CP118245.1.region006	region	6	232	FAM_00018	NZ_CP118245.1	6	GCF_028816435.1
NZ_LMGZ01000018.1.region001.gbk_region_1	NZ_LMGZ01000018.1.region001	region	1	232	FAM_00019	NZ_LMGZ01000018.1	1	GCF_001427605.1
NZ_CP042304.1.region003.gbk_region_3	NZ_CP042304.1.region003	region	3	232	FAM_00019	NZ_CP042304.1	3	GCF_007859655.1
NZ_JBTLRJ010000001.1.region002.gbk_region_2	NZ_JBTLRJ010000001.1.region002	region	2	232	FAM_00020	NZ_JBTLRJ010000001.1	2	GCF_054482695.1
NZ_LAJG01000014.1.region002.gbk_region_2	NZ_LAJG01000014.1.region002	region	2	232	FAM_00020	NZ_LAJG01000014.1	2	GCF_000970455.1
NZ_JAEMEB010000003.1.region001.gbk_region_1	NZ_JAEMEB010000003.1.region001	region	1	312	FAM_00021	NZ_JAEMEB010000003.1	1	GCF_016457235.1
NZ_JAENGO010000001.1.region001.gbk_region_1	NZ_JAENGO010000001.1.region001	region	1	312	FAM_00021	NZ_JAENGO010000001.1	1	GCF_016595685.1
NZ_JABBDZ010000005.1.region001.gbk_region_1	NZ_JABBDZ010000005.1.region001	region	1	312	FAM_00021	NZ_JABBDZ010000005.1	1	GCF_012847305.1
NZ_JAEMNZ010000002.1.region001.gbk_region_1	NZ_JAEMNZ010000002.1.region001	region	1	312	FAM_00021	NZ_JAEMNZ010000002.1	1	GCF_016461625.1
NZ_CP059902.1.region003.gbk_region_3	NZ_CP059902.1.region003	region	3	312	FAM_00021	NZ_CP059902.1	3	GCF_014127105.1
NZ_JAMZCU010000005.1.region001.gbk_region_1	NZ_JAMZCU010000005.1.region001	region	1	336	FAM_00022	NZ_JAMZCU010000005.1	1	GCF_024273195.1
NZ_JBTLRJ010000001.1.region001.gbk_region_1	NZ_JBTLRJ010000001.1.region001	region	1	336	FAM_00022	NZ_JBTLRJ010000001.1	1	GCF_054482695.1
NZ_JAMWDU010000005.1.region001.gbk_region_1	NZ_JAMWDU010000005.1.region001	region	1	336	FAM_00022	NZ_JAMWDU010000005.1	1	GCF_024273205.1
NZ_CP170082.1.region003.gbk_region_3	NZ_CP170082.1.region003	region	3	336	FAM_00022	NZ_CP170082.1	3	GCF_042181575.1
NZ_CP080590.1.region006.gbk_region_6	NZ_CP080590.1.region006	region	6	336	FAM_00022	NZ_CP080590.1	6	GCF_019504385.1
NZ_JAMYXP010000004.1.region001.gbk_region_1	NZ_JAMYXP010000004.1.region001	region	1	336	FAM_00023	NZ_JAMYXP010000004.1	1	GCF_024158985.1
NZ_JACIEW010000005.1.region001.gbk_region_1	NZ_JACIEW010000005.1.region001	region	1	336	FAM_00023	NZ_JACIEW010000005.1	1	GCF_014197055.1
NZ_JAVKFR010000024.1.region001.gbk_region_1	NZ_JAVKFR010000024.1.region001	region	1	336	FAM_00023	NZ_JAVKFR010000024.1	1	GCF_040223715.1
NZ_STGC01000005.1.region006.gbk_region_6	NZ_STGC01000005.1.region006	region	6	336	FAM_00023	NZ_STGC01000005.1	6	GCF_005222805.1
NZ_CP094375.1.region002.gbk_region_2	NZ_CP094375.1.region002	region	2	336	FAM_00023	NZ_CP094375.1	2	GCF_056341075.1
NZ_WQRF01000003.1.region001.gbk_region_1	NZ_WQRF01000003.1.region001	region	1	336	FAM_00023	NZ_WQRF01000003.1	1	GCF_009758415.1
NZ_FXWK01000001.1.region005.gbk_region_5	NZ_FXWK01000001.1.region005	region	5	336	FAM_00023	NZ_FXWK01000001.1	5	GCF_900177655.1
NZ_LMHK01000002.1.region001.gbk_region_1	NZ_LMHK01000002.1.region001	region	1	336	FAM_00024	NZ_LMHK01000002.1	1	GCF_001427875.1
NZ_JBKJHF010000002.1.region001.gbk_region_1	NZ_JBKJHF010000002.1.region001	region	1	336	FAM_00024	NZ_JBKJHF010000002.1	1	GCF_046614475.1
NZ_CP068046.1.region001.gbk_region_1	NZ_CP068046.1.region001	region	1	336	FAM_00024	NZ_CP068046.1	1	GCF_016698665.1
NZ_JACYFU010000004.1.region002.gbk_region_2	NZ_JACYFU010000004.1.region002	region	2	336	FAM_00024	NZ_JACYFU010000004.1	2	GCF_014837245.1
NZ_FPCK01000001.1.region001.gbk_region_1	NZ_FPCK01000001.1.region001	region	1	336	FAM_00024	NZ_FPCK01000001.1	1	GCF_900116545.1
NZ_CP075529.1.region004.gbk_region_4	NZ_CP075529.1.region004	region	4	336	FAM_00024	NZ_CP075529.1	4	GCF_025809055.1
NZ_CAXUPK020000002.1.region001.gbk_region_1	NZ_CAXUPK020000002.1.region001	region	1	336	FAM_00024	NZ_CAXUPK020000002.1	1	GCF_964252865.1
NZ_CDRNJH010000001.1.region002.gbk_region_2	NZ_CDRNJH010000001.1.region002	region	2	336	FAM_00024	NZ_CDRNJH010000001.1	2	GCF_977014175.1
NZ_LMLO01000012.1.region001.gbk_region_1	NZ_LMLO01000012.1.region001	region	1	336	FAM_00024	NZ_LMLO01000012.1	1	GCF_001421945.1
NZ_JQGC01000019.1.region001.gbk_region_1	NZ_JQGC01000019.1.region001	region	1	336	FAM_00024	NZ_JQGC01000019.1	1	GCF_000743575.1
NZ_LAJG01000048.1.region001.gbk_region_1	NZ_LAJG01000048.1.region001	region	1	336	FAM_00024	NZ_LAJG01000048.1	1	GCF_000970455.1
NZ_LMQU01000011.1.region001.gbk_region_1	NZ_LMQU01000011.1.region001	region	1	336	FAM_00024	NZ_LMQU01000011.1	1	GCF_001425445.1
NZ_JBMQPQ010000012.1.region001.gbk_region_1	NZ_JBMQPQ010000012.1.region001	region	1	336	FAM_00024	NZ_JBMQPQ010000012.1	1	GCF_053550215.1
NZ_JZEY01000061.1.region002.gbk_region_2	NZ_JZEY01000061.1.region002	region	2	336	FAM_00024	NZ_JZEY01000061.1	2	GCF_000969445.1
NZ_JAIMBX010000003.1.region002.gbk_region_2	NZ_JAIMBX010000003.1.region002	region	2	336	FAM_00024	NZ_JAIMBX010000003.1	2	GCF_032907385.1
NZ_JCACVZ010000001.1.region001.gbk_region_1	NZ_JCACVZ010000001.1.region001	region	1	336	FAM_00024	NZ_JCACVZ010000001.1	1	GCF_059070485.1
NZ_JADGNE010000026.1.region001.gbk_region_1	NZ_JADGNE010000026.1.region001	region	1	336	FAM_00025	NZ_JADGNE010000026.1	1	GCF_015234425.1
NZ_JACDXV010000002.1.region003.gbk_region_3	NZ_JACDXV010000002.1.region003	region	3	336	FAM_00025	NZ_JACDXV010000002.1	3	GCF_015158295.1
NZ_CP104002.1.region003.gbk_region_3	NZ_CP104002.1.region003	region	3	336	FAM_00025	NZ_CP104002.1	3	GCF_029201565.1
NZ_CP104007.1.region004.gbk_region_4	NZ_CP104007.1.region004	region	4	336	FAM_00025	NZ_CP104007.1	4	GCF_029201545.1
NZ_LVVY01000098.1.region001.gbk_region_1	NZ_LVVY01000098.1.region001	region	1	336	FAM_00026	NZ_LVVY01000098.1	1	GCF_001650025.1
NZ_FQVC01000003.1.region001.gbk_region_1	NZ_FQVC01000003.1.region001	region	1	336	FAM_00026	NZ_FQVC01000003.1	1	GCF_900128975.1
NZ_LMGZ01000023.1.region001.gbk_region_1	NZ_LMGZ01000023.1.region001	region	1	336	FAM_00026	NZ_LMGZ01000023.1	1	GCF_001427605.1
NZ_LAJF01000036.1.region001.gbk_region_1	NZ_LAJF01000036.1.region001	region	1	336	FAM_00026	NZ_LAJF01000036.1	1	GCF_000970435.1
NZ_CP126539.1.region001.gbk_region_1	NZ_CP126539.1.region001	region	1	336	FAM_00026	NZ_CP126539.1	1	GCF_030177755.1
NZ_PYWB01000008.1.region001.gbk_region_1	NZ_PYWB01000008.1.region001	region	1	336	FAM_00026	NZ_PYWB01000008.1	1	GCF_003056345.1
NZ_PYVW01000002.1.region001.gbk_region_1	NZ_PYVW01000002.1.region001	region	1	336	FAM_00026	NZ_PYVW01000002.1	1	GCF_003056355.1
NZ_BSNG01000001.1.region001.gbk_region_1	NZ_BSNG01000001.1.region001	region	1	336	FAM_00027	NZ_BSNG01000001.1	1	GCF_030159855.1
NZ_CP104965.1.region002.gbk_region_2	NZ_CP104965.1.region002	region	2	336	FAM_00027	NZ_CP104965.1	2	GCF_025452235.1
NZ_JNNO01000044.1.region001.gbk_region_1	NZ_JNNO01000044.1.region001	region	1	336	FAM_00027	NZ_JNNO01000044.1	1	GCF_000735585.1
NZ_JBJDRE010000012.1.region001.gbk_region_1	NZ_JBJDRE010000012.1.region001	region	1	336	FAM_00027	NZ_JBJDRE010000012.1	1	GCF_044987315.1
NZ_JABAOM010000002.1.region001.gbk_region_1	NZ_JABAOM010000002.1.region001	region	1	336	FAM_00028	NZ_JABAOM010000002.1	1	GCF_013185955.1
NZ_CP034767.1.region003.gbk_region_3	NZ_CP034767.1.region003	region	3	336	FAM_00028	NZ_CP034767.1	3	GCF_004005995.1
NZ_JABAOL010000001.1.region004.gbk_region_4	NZ_JABAOL010000001.1.region004	region	4	336	FAM_00028	NZ_JABAOL010000001.1	4	GCF_013185965.1
NZ_JBYUNO010000003.1.region001.gbk_region_1	NZ_JBYUNO010000003.1.region001	region	1	336	FAM_00028	NZ_JBYUNO010000003.1	1	GCF_058133495.1
NZ_JBYUNQ010000001.1.region002.gbk_region_2	NZ_JBYUNQ010000001.1.region002	region	2	336	FAM_00028	NZ_JBYUNQ010000001.1	2	GCF_058133665.1
NZ_JAEMEB010000016.1.region001.gbk_region_1	NZ_JAEMEB010000016.1.region001	region	1	336	FAM_00029	NZ_JAEMEB010000016.1	1	GCF_016457235.1
NZ_CP059902.1.region004.gbk_region_4	NZ_CP059902.1.region004	region	4	336	FAM_00029	NZ_CP059902.1	4	GCF_014127105.1
NZ_JABBDZ010000006.1.region001.gbk_region_1	NZ_JABBDZ010000006.1.region001	region	1	336	FAM_00029	NZ_JABBDZ010000006.1	1	GCF_012847305.1
NZ_JAEMNZ010000007.1.region001.gbk_region_1	NZ_JAEMNZ010000007.1.region001	region	1	336	FAM_00029	NZ_JAEMNZ010000007.1	1	GCF_016461625.1
NZ_JAENGO010000004.1.region001.gbk_region_1	NZ_JAENGO010000004.1.region001	region	1	336	FAM_00029	NZ_JAENGO010000004.1	1	GCF_016595685.1
NZ_JAQGJM010000015.1.region001.gbk_region_1	NZ_JAQGJM010000015.1.region001	region	1	340	FAM_00030	NZ_JAQGJM010000015.1	1	GCF_028290625.1
NZ_JAQGJV010000024.1.region001.gbk_region_1	NZ_JAQGJV010000024.1.region001	region	1	340	FAM_00030	NZ_JAQGJV010000024.1	1	GCF_028290435.1
NZ_JAFKHC010000005.1.region002.gbk_region_2	NZ_JAFKHC010000005.1.region002	region	2	380	FAM_00031	NZ_JAFKHC010000005.1	2	GCF_017307475.1
NZ_MKVA01000003.1.region002.gbk_region_2	NZ_MKVA01000003.1.region002	region	2	380	FAM_00031	NZ_MKVA01000003.1	2	GCF_001899075.1
NZ_PYVZ01000007.1.region001.gbk_region_1	NZ_PYVZ01000007.1.region001	region	1	562	FAM_00032	NZ_PYVZ01000007.1	1	GCF_003056405.1
NZ_CP118245.1.region004.gbk_region_4	NZ_CP118245.1.region004	region	4	562	FAM_00032	NZ_CP118245.1	4	GCF_028816435.1
NZ_CP045422.1.region005.gbk_region_5	NZ_CP045422.1.region005	region	5	562	FAM_00032	NZ_CP045422.1	5	GCF_014926585.1
NZ_CP026747.1.region006.gbk_region_6	NZ_CP026747.1.region006	region	6	562	FAM_00032	NZ_CP026747.1	6	GCF_002949085.1
NZ_LAJF01000076.1.region001.gbk_region_1	NZ_LAJF01000076.1.region001	region	1	562	FAM_00032	NZ_LAJF01000076.1	1	GCF_000970435.1
NZ_JAVKFR010000022.1.region001.gbk_region_1	NZ_JAVKFR010000022.1.region001	region	1	562	FAM_00032	NZ_JAVKFR010000022.1	1	GCF_040223715.1
NZ_CP146608.1.region001.gbk_region_1	NZ_CP146608.1.region001	region	1	562	FAM_00032	NZ_CP146608.1	1	GCF_037113415.1
NZ_JAGXTP010000001.1.region004.gbk_region_4	NZ_JAGXTP010000001.1.region004	region	4	562	FAM_00032	NZ_JAGXTP010000001.1	4	GCF_018334155.1
NZ_CP080590.1.region003.gbk_region_3	NZ_CP080590.1.region003	region	3	562	FAM_00032	NZ_CP080590.1	3	GCF_019504385.1
NZ_JAPWHK010000001.1.region001.gbk_region_1	NZ_JAPWHK010000001.1.region001	region	1	562	FAM_00032	NZ_JAPWHK010000001.1	1	GCF_027214225.1
NZ_JAMWDU010000009.1.region001.gbk_region_1	NZ_JAMWDU010000009.1.region001	region	1	562	FAM_00032	NZ_JAMWDU010000009.1	1	GCF_024273205.1
NZ_JBNMEO010000008.1.region001.gbk_region_1	NZ_JBNMEO010000008.1.region001	region	1	562	FAM_00032	NZ_JBNMEO010000008.1	1	GCF_051302775.1
NZ_JACYFU010000004.1.region001.gbk_region_1	NZ_JACYFU010000004.1.region001	region	1	562	FAM_00032	NZ_JACYFU010000004.1	1	GCF_014837245.1
NZ_JAMZCU010000006.1.region001.gbk_region_1	NZ_JAMZCU010000006.1.region001	region	1	562	FAM_00032	NZ_JAMZCU010000006.1	1	GCF_024273195.1
NZ_FXWK01000001.1.region001.gbk_region_1	NZ_FXWK01000001.1.region001	region	1	562	FAM_00032	NZ_FXWK01000001.1	1	GCF_900177655.1
NZ_WQRF01000001.1.region002.gbk_region_2	NZ_WQRF01000001.1.region002	region	2	562	FAM_00032	NZ_WQRF01000001.1	2	GCF_009758415.1
NZ_JACIEW010000001.1.region002.gbk_region_2	NZ_JACIEW010000001.1.region002	region	2	562	FAM_00032	NZ_JACIEW010000001.1	2	GCF_014197055.1
NZ_CP170082.1.region006.gbk_region_6	NZ_CP170082.1.region006	region	6	562	FAM_00032	NZ_CP170082.1	6	GCF_042181575.1
NZ_FQVC01000010.1.region002.gbk_region_2	NZ_FQVC01000010.1.region002	region	2	562	FAM_00032	NZ_FQVC01000010.1	2	GCF_900128975.1
NZ_CM147870.1.region005.gbk_region_5	NZ_CM147870.1.region005	region	5	562	FAM_00032	NZ_CM147870.1	5	GCF_055808475.1
NZ_JAMYXP010000001.1.region001.gbk_region_1	NZ_JAMYXP010000001.1.region001	region	1	562	FAM_00032	NZ_JAMYXP010000001.1	1	GCF_024158985.1
NZ_JBTLRJ010000002.1.region001.gbk_region_1	NZ_JBTLRJ010000002.1.region001	region	1	562	FAM_00032	NZ_JBTLRJ010000002.1	1	GCF_054482695.1
NZ_FPCK01000003.1.region001.gbk_region_1	NZ_FPCK01000003.1.region001	region	1	562	FAM_00032	NZ_FPCK01000003.1	1	GCF_900116545.1
NZ_JAPWHK010000005.1.region001.gbk_region_1	NZ_JAPWHK010000005.1.region001	region	1	879	FAM_00033	NZ_JAPWHK010000005.1	1	GCF_027214225.1
NZ_CM147870.1.region002.gbk_region_2	NZ_CM147870.1.region002	region	2	879	FAM_00033	NZ_CM147870.1	2	GCF_055808475.1
NZ_JBNMEO010000001.1.region001.gbk_region_1	NZ_JBNMEO010000001.1.region001	region	1	879	FAM_00033	NZ_JBNMEO010000001.1	1	GCF_051302775.1
NZ_CP118245.1.region001.gbk_region_1	NZ_CP118245.1.region001	region	1	879	FAM_00033	NZ_CP118245.1	1	GCF_028816435.1
NZ_JAGXTP010000001.1.region001.gbk_region_1	NZ_JAGXTP010000001.1.region001	region	1	879	FAM_00033	NZ_JAGXTP010000001.1	1	GCF_018334155.1
NZ_CP034767.1.region005.gbk_region_5	NZ_CP034767.1.region005	region	5	891	FAM_00034	NZ_CP034767.1	5	GCF_004005995.1
NZ_JABAOL010000001.1.region001.gbk_region_1	NZ_JABAOL010000001.1.region001	region	1	891	FAM_00034	NZ_JABAOL010000001.1	1	GCF_013185965.1
NZ_JABAOM010000003.1.region001.gbk_region_1	NZ_JABAOM010000003.1.region001	region	1	891	FAM_00034	NZ_JABAOM010000003.1	1	GCF_013185955.1
NZ_JBYUNQ010000002.1.region001.gbk_region_1	NZ_JBYUNQ010000002.1.region001	region	1	891	FAM_00034	NZ_JBYUNQ010000002.1	1	GCF_058133665.1
NZ_JBYUNO010000001.1.region002.gbk_region_2	NZ_JBYUNO010000001.1.region002	region	2	891	FAM_00034	NZ_JBYUNO010000001.1	2	GCF_058133495.1
NZ_CP094375.1.region004.gbk_region_4	NZ_CP094375.1.region004	region	4	969	FAM_00035	NZ_CP094375.1	4	GCF_056341075.1
NZ_JBTLRJ010000005.1.region001.gbk_region_1	NZ_JBTLRJ010000005.1.region001	region	1	969	FAM_00035	NZ_JBTLRJ010000005.1	1	GCF_054482695.1
NZ_CP026747.1.region002.gbk_region_2	NZ_CP026747.1.region002	region	2	969	FAM_00035	NZ_CP026747.1	2	GCF_002949085.1
NZ_JACIEW010000006.1.region001.gbk_region_1	NZ_JACIEW010000006.1.region001	region	1	969	FAM_00035	NZ_JACIEW010000006.1	1	GCF_014197055.1
NZ_PYVZ01000001.1.region001.gbk_region_1	NZ_PYVZ01000001.1.region001	region	1	969	FAM_00035	NZ_PYVZ01000001.1	1	GCF_003056405.1
NZ_JAVKFR010000010.1.region001.gbk_region_1	NZ_JAVKFR010000010.1.region001	region	1	969	FAM_00035	NZ_JAVKFR010000010.1	1	GCF_040223715.1
