Record	GBK	Record_Type	Record_Number	CC	Family	bgc_class	genome	Class	Category	Description	Taxonomy	GCF_ID	cutoff
NZ_JAQGJV010000035.1.region001.gbk_region_1	NZ_JAQGJV010000035.1.region001	region	1	2103	FAM_00503	other	Unknown	hserlactone	other	NZ_JAQGJV010000035.1 MAG: Devosia sp. isolate RYN_494 scaffold_5976185, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00503	0.3
NZ_JAQGJM010000040.1.region001.gbk_region_1	NZ_JAQGJM010000040.1.region001	region	1	2103	FAM_00503	other	Unknown	hserlactone	other	NZ_JAQGJM010000040.1 MAG: Devosia sp. isolate RYN_485 scaffold_1327769, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00503	0.3
NZ_JBEPOL010000003.1.region001.gbk_region_1	NZ_JBEPOL010000003.1.region001	region	1	2103	FAM_00503	other	Unknown	hserlactone	other	NZ_JBEPOL010000003.1 Devosia sp. UYZn731 Ga0493902_03, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00503	0.3
NZ_UZWD01000022.1.region001.gbk_region_1	NZ_UZWD01000022.1.region001	region	1	2314	FAM_00504	other	Unknown	hserlactone	other	NZ_UZWD01000022.1 Devosia equisanguinis strain CIP 111628, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00504	0.3
NZ_MKUY01000004.1.region001.gbk_region_1	NZ_MKUY01000004.1.region001	region	1	2314	FAM_00504	other	Unknown	hserlactone	other	NZ_MKUY01000004.1 MAG: Devosia sp. 63-57 SCNpilot_expt_1000_bf_scaffold_29, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00504	0.3
NZ_JBHTMH010000003.1.region001.gbk_region_1	NZ_JBHTMH010000003.1.region001	region	1	2314	FAM_00504	other	Unknown	hserlactone	other	NZ_JBHTMH010000003.1 Devosia equisanguinis strain CCM 8868 GCM70027366_18, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00504	0.3
NZ_CP104965.1.region003.gbk_region_3	NZ_CP104965.1.region003	region	3	2437	FAM_00505	other	Unknown	betalactone	other	NZ_CP104965.1 Devosia neptuniae strain A18/4-1 chromosome, complete genome	Unknown	other_c0.3_famFAM_00505	0.3
NZ_JBJDRE010000003.1.region001.gbk_region_1	NZ_JBJDRE010000003.1.region001	region	1	2437	FAM_00505	other	Unknown	betalactone	other	NZ_JBJDRE010000003.1 Devosia sp. ZW T5_3 ZW_T5_3_contig_003, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00505	0.3
NZ_BSNG01000001.1.region002.gbk_region_2	NZ_BSNG01000001.1.region002	region	2	2437	FAM_00505	other	Unknown	betalactone	other	NZ_BSNG01000001.1 Devosia yakushimensis strain NBRC 103855 sequence01, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00505	0.3
NZ_JNNO01000023.1.region001.gbk_region_1	NZ_JNNO01000023.1.region001	region	1	2437	FAM_00505	other	Unknown	betalactone	other	NZ_JNNO01000023.1 Devosia sp. LC5 contig3, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00505	0.3
NZ_LMEM01000009.1.region001.gbk_region_1	NZ_LMEM01000009.1.region001	region	1	2437	FAM_00506	other	Unknown	betalactone	other	NZ_LMEM01000009.1 Devosia sp. Root436 contig_2, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00506	0.3
NZ_JBTMWV010000001.1.region001.gbk_region_1	NZ_JBTMWV010000001.1.region001	region	1	2437	FAM_00506	other	Unknown	betalactone	other	NZ_JBTMWV010000001.1 Devosia sp. A369 Scaffold1, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00506	0.3
NZ_AP027921.1.region004.gbk_region_4	NZ_AP027921.1.region004	region	4	2437	FAM_00506	other	Unknown	betalactone	other	NZ_AP027921.1 Devosia sp. T2-14 chromosome, complete genome	Unknown	other_c0.3_famFAM_00506	0.3
NZ_FOMB01000007.1.region001.gbk_region_1	NZ_FOMB01000007.1.region001	region	1	2437	FAM_00506	other	Unknown	betalactone	other	NZ_FOMB01000007.1 Devosia psychrophila strain CGMCC 1.10210, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00506	0.3
NZ_JBTMWU010000002.1.region001.gbk_region_1	NZ_JBTMWU010000002.1.region001	region	1	2437	FAM_00506	other	Unknown	betalactone	other	NZ_JBTMWU010000002.1 Devosia sp. A449 Scaffold2, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00506	0.3
NZ_FPCK01000004.1.region001.gbk_region_1	NZ_FPCK01000004.1.region001	region	1	2454	FAM_00507	other	Unknown	hserlactone	other	NZ_FPCK01000004.1 Devosia crocina strain IPL20, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00507	0.3
NZ_CP104002.1.region004.gbk_region_4	NZ_CP104002.1.region004	region	4	2454	FAM_00507	other	Unknown	hserlactone	other	NZ_CP104002.1 Devosia sp. SD17-2 chromosome, complete genome	Unknown	other_c0.3_famFAM_00507	0.3
NZ_JCACVZ010000001.1.region004.gbk_region_4	NZ_JCACVZ010000001.1.region004	region	4	2454	FAM_00507	other	Unknown	hserlactone	other	NZ_JCACVZ010000001.1 MAG: Devosia sp. isolate TerP_2 Oxa_002_000000000117, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00507	0.3
NZ_CP104007.1.region005.gbk_region_5	NZ_CP104007.1.region005	region	5	2454	FAM_00507	other	Unknown	hserlactone	other	NZ_CP104007.1 Devosia sp. FJ2-5-3 chromosome, complete genome	Unknown	other_c0.3_famFAM_00507	0.3
NZ_JAIMBX010000004.1.region001.gbk_region_1	NZ_JAIMBX010000004.1.region001	region	1	2454	FAM_00508	other	Unknown	hserlactone	other	NZ_JAIMBX010000004.1 Devosia sp. BK 9_Devo_4, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00508	0.3
NZ_LMQU01000014.1.region001.gbk_region_1	NZ_LMQU01000014.1.region001	region	1	2454	FAM_00508	other	Unknown	hserlactone	other	NZ_LMQU01000014.1 Devosia sp. Leaf420 contig_7, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00508	0.3
NZ_LMLO01000002.1.region001.gbk_region_1	NZ_LMLO01000002.1.region001	region	1	2454	FAM_00508	other	Unknown	hserlactone	other	NZ_LMLO01000002.1 Devosia sp. Leaf64 contig_10, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00508	0.3
NZ_FQVC01000014.1.region001.gbk_region_1	NZ_FQVC01000014.1.region001	region	1	2836	FAM_00509	other	Unknown	hserlactone	other	NZ_FQVC01000014.1 Devosia limi DSM 17137, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00509	0.3
NZ_JAPWHK010000012.1.region001.gbk_region_1	NZ_JAPWHK010000012.1.region001	region	1	2836	FAM_00509	other	Unknown	hserlactone	other	NZ_JAPWHK010000012.1 Devosia neptuniae strain G21611-S1 NODE_12_length_122917_cov_11.4053, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00509	0.3
NZ_JBTMWV010000039.1.region001.gbk_region_1	NZ_JBTMWV010000039.1.region001	region	1	2836	FAM_00509	other	Unknown	hserlactone	other	NZ_JBTMWV010000039.1 Devosia sp. A369 Scaffold39, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00509	0.3
NZ_FOMB01000021.1.region001.gbk_region_1	NZ_FOMB01000021.1.region001	region	1	2836	FAM_00509	other	Unknown	hserlactone	other	NZ_FOMB01000021.1 Devosia psychrophila strain CGMCC 1.10210, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00509	0.3
NZ_JAVKFR010000033.1.region002.gbk_region_2	NZ_JAVKFR010000033.1.region002	region	2	2836	FAM_00509	other	Unknown	hserlactone	other	NZ_JAVKFR010000033.1 MAG: Devosia marina isolate F1-TOW-06 k141_74518, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00509	0.3
NZ_JQGC01000048.1.region001.gbk_region_1	NZ_JQGC01000048.1.region001	region	1	2836	FAM_00509	other	Unknown	hserlactone	other	NZ_JQGC01000048.1 Devosia riboflavina strain IFO13584 contig48, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00509	0.3
NZ_LAJF01000040.1.region001.gbk_region_1	NZ_LAJF01000040.1.region001	region	1	2836	FAM_00509	other	Unknown	hserlactone	other	NZ_LAJF01000040.1 Devosia limi DSM 17137 NODE_40, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00509	0.3
NZ_LAJF01000076.1.region002.gbk_region_2	NZ_LAJF01000076.1.region002	region	2	3437	FAM_00510	other	Unknown	hydrogen-cyanide	other	NZ_LAJF01000076.1 Devosia limi DSM 17137 NODE_76, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00510	0.3
NZ_FQVC01000010.1.region001.gbk_region_1	NZ_FQVC01000010.1.region001	region	1	3437	FAM_00510	other	Unknown	hydrogen-cyanide	other	NZ_FQVC01000010.1 Devosia limi DSM 17137, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00510	0.3
NZ_JAGXTP010000001.1.region001.gbk_region_1	NZ_JAGXTP010000001.1.region001	region	1	3816	FAM_00511	other	Unknown	hserlactone	other	NZ_JAGXTP010000001.1 Devosia litorisediminis strain BSSL-BM10 1, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00511	0.3
NZ_CM147870.1.region002.gbk_region_2	NZ_CM147870.1.region002	region	2	3816	FAM_00511	other	Unknown	hserlactone	other	NZ_CM147870.1 Devosia sp. J2-20 chromosome, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00511	0.3
NZ_CP118245.1.region001.gbk_region_1	NZ_CP118245.1.region001	region	1	3816	FAM_00511	other	Unknown	hserlactone	other	NZ_CP118245.1 Devosia sp. J2-20 chromosome	Unknown	other_c0.3_famFAM_00511	0.3
NZ_JBNMEO010000001.1.region001.gbk_region_1	NZ_JBNMEO010000001.1.region001	region	1	3816	FAM_00511	other	Unknown	hserlactone	other	NZ_JBNMEO010000001.1 MAG: Devosia sp. isolate 3300055174_60 Ga0535679_0000049, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00511	0.3
NZ_JAPWHK010000005.1.region001.gbk_region_1	NZ_JAPWHK010000005.1.region001	region	1	3816	FAM_00511	other	Unknown	hserlactone	other	NZ_JAPWHK010000005.1 Devosia neptuniae strain G21611-S1 NODE_5_length_349380_cov_128.949, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00511	0.3
NZ_JABAOL010000001.1.region001.gbk_region_1	NZ_JABAOL010000001.1.region001	region	1	3997	FAM_00512	other	Unknown	acyl_amino_acids	other	NZ_JABAOL010000001.1 Devosia sp. 919 Scaffold1_1, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00512	0.3
NZ_JBYUNQ010000002.1.region001.gbk_region_1	NZ_JBYUNQ010000002.1.region001	region	1	3997	FAM_00512	other	Unknown	acyl_amino_acids	other	NZ_JBYUNQ010000002.1 Devosia sp. Z11_6 NODE_2_length_859975_cov_197.188371, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00512	0.3
NZ_CP034767.1.region005.gbk_region_5	NZ_CP034767.1.region005	region	5	3997	FAM_00512	other	Unknown	acyl_amino_acids	other	NZ_CP034767.1 Devosia sp. 1566 chromosome, complete genome	Unknown	other_c0.3_famFAM_00512	0.3
NZ_JBYUNO010000001.1.region002.gbk_region_2	NZ_JBYUNO010000001.1.region002	region	2	3997	FAM_00512	other	Unknown	acyl_amino_acids	other	NZ_JBYUNO010000001.1 Devosia sp. Z6_126 NODE_1_length_1401190_cov_167.528294, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00512	0.3
NZ_JABAOM010000003.1.region001.gbk_region_1	NZ_JABAOM010000003.1.region001	region	1	3997	FAM_00512	other	Unknown	acyl_amino_acids	other	NZ_JABAOM010000003.1 Devosia sp. 1635 Scaffold3_1, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00512	0.3
NZ_JBTMWU010000004.1.region002.gbk_region_2	NZ_JBTMWU010000004.1.region002	region	2	4157	FAM_00513	other	Unknown	hydrogen-cyanide	other	NZ_JBTMWU010000004.1 Devosia sp. A449 Scaffold4, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00513	0.3
NZ_JBTMWV010000004.1.region001.gbk_region_1	NZ_JBTMWV010000004.1.region001	region	1	4157	FAM_00513	other	Unknown	hydrogen-cyanide	other	NZ_JBTMWV010000004.1 Devosia sp. A369 Scaffold4, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00513	0.3
NZ_JAMZCU010000002.1.region002.gbk_region_2	NZ_JAMZCU010000002.1.region002	region	2	4399	FAM_00514	other	Unknown	hydrogen-cyanide	other	NZ_JAMZCU010000002.1 Devosia ureilytica strain XJ19-1 Scaffold2, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00514	0.3
NZ_JAMWDU010000002.1.region001.gbk_region_1	NZ_JAMWDU010000002.1.region001	region	1	4399	FAM_00514	other	Unknown	hydrogen-cyanide	other	NZ_JAMWDU010000002.1 Devosia ureilytica strain XJ19-45 Scaffold2, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00514	0.3
NZ_BSNS01000007.1.region002.gbk_region_2	NZ_BSNS01000007.1.region002	region	2	4624	FAM_00515	other	Unknown	acyl_amino_acids	other	NZ_BSNS01000007.1 Devosia nitrariae strain NBRC 112416 sequence07, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00515	0.3
NZ_JBHLYO010000012.1.region001.gbk_region_1	NZ_JBHLYO010000012.1.region001	region	1	4624	FAM_00515	other	Unknown	acyl_amino_acids	other	NZ_JBHLYO010000012.1 Devosia nitrariae strain NBRC 112416 platanus_K_default_12, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00515	0.3
NZ_JAFKHC010000005.1.region001.gbk_region_1	NZ_JAFKHC010000005.1.region001	region	1	4707	FAM_00516	other	Unknown	hydrogen-cyanide	other	NZ_JAFKHC010000005.1 MAG: Devosia sp. isolate SCN18_26_2_15_R2_B_67_34 SCN18_26_2_15_R2_B_scaffold_15, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00516	0.3
NZ_MKVA01000003.1.region001.gbk_region_1	NZ_MKVA01000003.1.region001	region	1	4707	FAM_00516	other	Unknown	hydrogen-cyanide	other	NZ_MKVA01000003.1 MAG: Devosia sp. 67-54 SCNpilot_cont_1000_bf_scaffold_18, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00516	0.3
NZ_LMLO01000019.1.region001.gbk_region_1	NZ_LMLO01000019.1.region001	region	1	5030	FAM_00517	other	Unknown	acyl_amino_acids	other	NZ_LMLO01000019.1 Devosia sp. Leaf64 contig_4, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00517	0.3
NZ_CP104007.1.region001.gbk_region_1	NZ_CP104007.1.region001	region	1	5030	FAM_00517	other	Unknown	hserlactone	other	NZ_CP104007.1 Devosia sp. FJ2-5-3 chromosome, complete genome	Unknown	other_c0.3_famFAM_00517	0.3
NZ_JAIMBX010000002.1.region001.gbk_region_1	NZ_JAIMBX010000002.1.region001	region	1	5030	FAM_00517	other	Unknown	acyl_amino_acids	other	NZ_JAIMBX010000002.1 Devosia sp. BK 9_Devo_2, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00517	0.3
NZ_LMQU01000010.1.region001.gbk_region_1	NZ_LMQU01000010.1.region001	region	1	5030	FAM_00517	other	Unknown	acyl_amino_acids	other	NZ_LMQU01000010.1 Devosia sp. Leaf420 contig_3, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00517	0.3
NZ_JBHTMH010000001.1.region001.gbk_region_1	NZ_JBHTMH010000001.1.region001	region	1	5994	FAM_00518	other	Unknown	betalactone	other	NZ_JBHTMH010000001.1 Devosia equisanguinis strain CCM 8868 GCM70027366_15, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00518	0.3
NZ_UZWD01000036.1.region001.gbk_region_1	NZ_UZWD01000036.1.region001	region	1	5994	FAM_00518	other	Unknown	betalactone	other	NZ_UZWD01000036.1 Devosia equisanguinis strain CIP 111628, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00518	0.3
NZ_MKUY01000003.1.region002.gbk_region_2	NZ_MKUY01000003.1.region002	region	2	5994	FAM_00518	other	Unknown	betalactone	other	NZ_MKUY01000003.1 MAG: Devosia sp. 63-57 SCNpilot_expt_1000_bf_scaffold_28, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00518	0.3
NZ_JBTMWV010000009.1.region001.gbk_region_1	NZ_JBTMWV010000009.1.region001	region	1	6198	FAM_00519	other	Unknown	hserlactone	other	NZ_JBTMWV010000009.1 Devosia sp. A369 Scaffold9, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00519	0.3
NZ_JBTMWU010000001.1.region002.gbk_region_2	NZ_JBTMWU010000001.1.region002	region	2	6198	FAM_00519	other	Unknown	hserlactone	other	NZ_JBTMWU010000001.1 Devosia sp. A449 Scaffold1, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00519	0.3
NZ_FQVC01000004.1.region001.gbk_region_1	NZ_FQVC01000004.1.region001	region	1	6737	FAM_00520	other	Unknown	betalactone	other	NZ_FQVC01000004.1 Devosia limi DSM 17137, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00520	0.3
NZ_LAJF01000062.1.region001.gbk_region_1	NZ_LAJF01000062.1.region001	region	1	6737	FAM_00520	other	Unknown	betalactone	other	NZ_LAJF01000062.1 Devosia limi DSM 17137 NODE_62, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00520	0.3
NZ_LMGZ01000019.1.region001.gbk_region_1	NZ_LMGZ01000019.1.region001	region	1	7517	FAM_00521	other	Unknown	hserlactone	other	NZ_LMGZ01000019.1 Devosia sp. Root635 contig_4, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00521	0.3
NZ_LMEM01000010.1.region001.gbk_region_1	NZ_LMEM01000010.1.region001	region	1	7517	FAM_00521	other	Unknown	hserlactone	other	NZ_LMEM01000010.1 Devosia sp. Root436 contig_3, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00521	0.3
NZ_JAFKHC010000010.1.region001.gbk_region_1	NZ_JAFKHC010000010.1.region001	region	1	10619	FAM_00522	other	Unknown	hserlactone	other	NZ_JAFKHC010000010.1 MAG: Devosia sp. isolate SCN18_26_2_15_R2_B_67_34 SCN18_26_2_15_R2_B_scaffold_56, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00522	0.3
NZ_MKVA01000002.1.region001.gbk_region_1	NZ_MKVA01000002.1.region001	region	1	10619	FAM_00522	other	Unknown	hserlactone	other	NZ_MKVA01000002.1 MAG: Devosia sp. 67-54 SCNpilot_cont_1000_bf_scaffold_153, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00522	0.3
NZ_BMZE01000004.1.region001.gbk_region_1	NZ_BMZE01000004.1.region001	region	1	1350	FAM_00523	other	Unknown	ectoine	other	NZ_BMZE01000004.1 Devosia pacifica strain KCTC 32437 sequence4, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00523	0.3
NZ_CP068046.1.region002.gbk_region_2	NZ_CP068046.1.region002	region	2	1507	FAM_00524	other	Unknown	betalactone	other	NZ_CP068046.1 Devosia rhizoryzae strain LEGU1 chromosome	Unknown	other_c0.3_famFAM_00524	0.3
NZ_AP027921.1.region001.gbk_region_1	NZ_AP027921.1.region001	region	1	1523	FAM_00525	other	Unknown	hserlactone	other	NZ_AP027921.1 Devosia sp. T2-14 chromosome, complete genome	Unknown	other_c0.3_famFAM_00525	0.3
NZ_STGC01000002.1.region001.gbk_region_1	NZ_STGC01000002.1.region001	region	1	1614	FAM_00526	other	Unknown	hserlactone	other	NZ_STGC01000002.1 Devosia sp. FKR38 NODE_4_length_1043381_cov_214.428558, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00526	0.3
NZ_JBTLRJ010000003.1.region002.gbk_region_2	NZ_JBTLRJ010000003.1.region002	region	2	1995	FAM_00527	other	Unknown	hserlactone	other	NZ_JBTLRJ010000003.1 Devosia sp. CAU 1758 contig3, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00527	0.3
NZ_JAQGJV010000048.1.region001.gbk_region_1	NZ_JAQGJV010000048.1.region001	region	1	2095	FAM_00528	other	Unknown	hserlactone	other	NZ_JAQGJV010000048.1 MAG: Devosia sp. isolate RYN_494 scaffold_3063531, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00528	0.3
NZ_CP068047.1.region001.gbk_region_1	NZ_CP068047.1.region001	region	1	2192	FAM_00529	other	Unknown	hserlactone	other	NZ_CP068047.1 Devosia oryziradicis strain G19 chromosome	Unknown	other_c0.3_famFAM_00529	0.3
NZ_CP092483.1.region002.gbk_region_2	NZ_CP092483.1.region002	region	2	3454	FAM_00530	other	Unknown	hserlactone	other	NZ_CP092483.1 Devosia lacusdianchii strain JXJ CY 41 chromosome	Unknown	other_c0.3_famFAM_00530	0.3
NZ_MKUZ01000013.1.region001.gbk_region_1	NZ_MKUZ01000013.1.region001	region	1	3738	FAM_00531	other	Unknown	hserlactone	other	NZ_MKUZ01000013.1 MAG: Devosia sp. 66-22 SCNpilot_expt_1000_bf_scaffold_286, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00531	0.3
NZ_JQGC01000025.1.region001.gbk_region_1	NZ_JQGC01000025.1.region001	region	1	3807	FAM_00532	other	Unknown	hserlactone	other	NZ_JQGC01000025.1 Devosia riboflavina strain IFO13584 contig25, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00532	0.3
NZ_JBHUNP010000001.1.region002.gbk_region_2	NZ_JBHUNP010000001.1.region002	region	2	4017	FAM_00533	other	Unknown	hydrogen-cyanide	other	NZ_JBHUNP010000001.1 Devosia albogilva strain CCM 7427 tig00000001, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00533	0.3
NZ_BMZE01000002.1.region001.gbk_region_1	NZ_BMZE01000002.1.region001	region	1	4149	FAM_00534	other	Unknown	hserlactone	other	NZ_BMZE01000002.1 Devosia pacifica strain KCTC 32437 sequence2, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00534	0.3
NZ_CP092483.1.region004.gbk_region_4	NZ_CP092483.1.region004	region	4	4501	FAM_00535	other	Unknown	betalactone	other	NZ_CP092483.1 Devosia lacusdianchii strain JXJ CY 41 chromosome	Unknown	other_c0.3_famFAM_00535	0.3
NZ_CP045422.1.region001.gbk_region_1	NZ_CP045422.1.region001	region	1	4640	FAM_00536	other	Unknown	hydrogen-cyanide	other	NZ_CP045422.1 Devosia beringensis strain S02 chromosome, complete genome	Unknown	other_c0.3_famFAM_00536	0.3
NZ_PYWB01000003.1.region001.gbk_region_1	NZ_PYWB01000003.1.region001	region	1	4719	FAM_00537	other	Unknown	betalactone	other	NZ_PYWB01000003.1 Devosia submarina strain JCM 18935 scaffold3, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00537	0.3
NZ_CP126539.1.region004.gbk_region_4	NZ_CP126539.1.region004	region	4	4880	FAM_00538	other	Unknown	acyl_amino_acids	other	NZ_CP126539.1 Devosia rhizosphaerae strain RR2S18 chromosome, complete genome	Unknown	other_c0.3_famFAM_00538	0.3
NZ_CP042304.1.region004.gbk_region_4	NZ_CP042304.1.region004	region	4	5079	FAM_00539	other	Unknown	hserlactone	other	NZ_CP042304.1 Devosia ginsengisoli strain Gsoil 520 chromosome, complete genome	Unknown	other_c0.3_famFAM_00539	0.3
NZ_CP127251.1.region002.gbk_region_2	NZ_CP127251.1.region002	region	2	5124	FAM_00540	other	Unknown	betalactone	other	NZ_CP127251.1 Devosia sp. YIM 151766 chromosome, complete genome	Unknown	other_c0.3_famFAM_00540	0.3
NZ_JBEPOL010000008.1.region001.gbk_region_1	NZ_JBEPOL010000008.1.region001	region	1	5240	FAM_00541	other	Unknown	hserlactone	other	NZ_JBEPOL010000008.1 Devosia sp. UYZn731 Ga0493902_08, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00541	0.3
NZ_FOFL01000002.1.region001.gbk_region_1	NZ_FOFL01000002.1.region001	region	1	5363	FAM_00542	other	Unknown	betalactone	other	NZ_FOFL01000002.1 Devosia sp. YR412, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00542	0.3
NZ_JBLXGA010000002.1.region001.gbk_region_1	NZ_JBLXGA010000002.1.region001	region	1	5383	FAM_00543	other	Unknown	hydrogen-cyanide	other	NZ_JBLXGA010000002.1 MAG: Devosia sp. isolate ET04-05 T04maxbin_out.008RE.5K@2, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00543	0.3
NZ_JACYFU010000001.1.region001.gbk_region_1	NZ_JACYFU010000001.1.region001	region	1	5440	FAM_00544	other	Unknown	betalactone	other	NZ_JACYFU010000001.1 Devosia oryzisoli strain PTR5 contig1, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00544	0.3
NZ_JZEY01000054.1.region003.gbk_region_3	NZ_JZEY01000054.1.region003	region	3	5661	FAM_00545	other	Unknown	betalactone	other	NZ_JZEY01000054.1 Devosia chinhatensis strain IPL18 NODE_54, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00545	0.3
NZ_FOMB01000022.1.region001.gbk_region_1	NZ_FOMB01000022.1.region001	region	1	5674	FAM_00546	other	Unknown	hserlactone	other	NZ_FOMB01000022.1 Devosia psychrophila strain CGMCC 1.10210, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00546	0.3
NZ_JAFKHE010000012.1.region001.gbk_region_1	NZ_JAFKHE010000012.1.region001	region	1	5771	FAM_00547	other	Unknown	betalactone	other	NZ_JAFKHE010000012.1 MAG: Devosia sp. isolate SCN18_30_10_14_R3_P_66_71 SCN18_30_10_14_R3_P_scaffold_36, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00547	0.3
NZ_FXWK01000001.1.region004.gbk_region_4	NZ_FXWK01000001.1.region004	region	4	5889	FAM_00548	other	Unknown	betalactone	other	NZ_FXWK01000001.1 Devosia lucknowensis strain L15, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00548	0.3
NZ_CP126539.1.region003.gbk_region_3	NZ_CP126539.1.region003	region	3	6074	FAM_00549	other	Unknown	ectoine	other	NZ_CP126539.1 Devosia rhizosphaerae strain RR2S18 chromosome, complete genome	Unknown	other_c0.3_famFAM_00549	0.3
NZ_PYVW01000018.1.region001.gbk_region_1	NZ_PYVW01000018.1.region001	region	1	6368	FAM_00550	other	Unknown	betalactone	other	NZ_PYVW01000018.1 Devosia naphthalenivorans strain CM5-1 scaffold18, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00550	0.3
NZ_JBLXGA010000009.1.region001.gbk_region_1	NZ_JBLXGA010000009.1.region001	region	1	6635	FAM_00551	other	Unknown	betalactone	other	NZ_JBLXGA010000009.1 MAG: Devosia sp. isolate ET04-05 T04maxbin_out.008RE.5K@9, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00551	0.3
NZ_FOFL01000002.1.region002.gbk_region_2	NZ_FOFL01000002.1.region002	region	2	6849	FAM_00552	other	Unknown	hserlactone	other	NZ_FOFL01000002.1 Devosia sp. YR412, whole genome shotgun sequence	Unknown	other_c0.3_famFAM_00552	0.3
NZ_CP068046.1.region005.gbk_region_5	NZ_CP068046.1.region005	region	5	7141	FAM_00553	other	Unknown	hserlactone	other	NZ_CP068046.1 Devosia rhizoryzae strain LEGU1 chromosome	Unknown	other_c0.3_famFAM_00553	0.3
NZ_CP063401.1.region004.gbk_region_4	NZ_CP063401.1.region004	region	4	7468	FAM_00554	other	Unknown	acyl_amino_acids	other	NZ_CP063401.1 Devosia sp. SL43 chromosome, complete genome	Unknown	other_c0.3_famFAM_00554	0.3
