accession	contig	region_number	start	end	products	n_candidate_clusters	candidate_cluster_numbers	contig_edge
GCF_027214225.1	NZ_JAPWHK010000008.1	1	34012	94795	acyl_amino_acids	1	1	False
GCF_028290435.1	NZ_JAQGJV010000082.1	1	63902	96746	betalactone	1	1	False
GCF_028290435.1	NZ_JAQGJV010000048.1	1	0	11139	hserlactone	1	1	True
GCF_028290435.1	NZ_JAQGJV010000042.1	1	8884	49970	T3PKS	1	1	False
GCF_028290435.1	NZ_JAQGJV010000024.1	1	60113	80554	hserlactone	1	1	False
GCF_028290435.1	NZ_JAQGJV010000003.1	1	67284	88127	terpene	1	1	False
GCF_028290435.1	NZ_JAQGJV010000035.1	1	0	16178	hserlactone	1	1	True
GCF_028290625.1	NZ_JAQGJM010000040.1	1	0	11189	hserlactone	1	1	True
GCF_028290625.1	NZ_JAQGJM010000009.1	1	126461	158668	betalactone	1	1	False
GCF_028290625.1	NZ_JAQGJM010000015.1	1	17904	34614	hserlactone	1	1	True
GCF_028290625.1	NZ_JAQGJM010000022.1	1	89452	130538	T3PKS	1	1	False
GCF_028290625.1	NZ_JAQGJM010000021.1	1	114390	135233	terpene	1	1	False
GCF_028613635.1	NZ_JAQRMY010000003.1	1	264947	286758	thioamitides	1	1	False
GCF_028613635.1	NZ_JAQRMY010000004.1	1	366271	387108	terpene	1	1	False
GCF_028816435.1	NZ_CP118245.1	1	376897	397353	hserlactone	1	1	False
GCF_028816435.1	NZ_CP118245.1	2	890657	951440	acyl_amino_acids	1	2	False
GCF_028816435.1	NZ_CP118245.1	3	1686089	1696953	RiPP-like	1	3	False
GCF_028816435.1	NZ_CP118245.1	4	2047009	2057402	ectoine	1	4	False
GCF_028816435.1	NZ_CP118245.1	5	2736744	2757590	terpene	1	5	False
GCF_028816435.1	NZ_CP118245.1	6	3566071	3596925	betalactone	1	6	False
GCF_029201545.1	NZ_CP104007.1	1	209918	230674	hserlactone	1	1	False
GCF_029201545.1	NZ_CP104007.1	2	1425067	1448623	terpene	1	2	False
GCF_029201545.1	NZ_CP104007.1	3	1987665	2008511	terpene	1	3	False
GCF_029201545.1	NZ_CP104007.1	4	3621526	3641985	hserlactone	1	4	False
GCF_029201545.1	NZ_CP104007.1	5	3974024	3994675	hserlactone	1	5	False
GCF_029201565.1	NZ_CP104002.1	1	1477068	1500657	terpene	1	1	False
GCF_029201565.1	NZ_CP104002.1	2	2081510	2102356	terpene	1	2	False
GCF_029201565.1	NZ_CP104002.1	3	3680386	3700845	hserlactone	1	3	False
GCF_029201565.1	NZ_CP104002.1	4	3992801	4013452	hserlactone	1	4	False
GCF_030159855.1	NZ_BSNG01000001.1	1	169531	189987	hserlactone	1	1	False
GCF_030159855.1	NZ_BSNG01000001.1	2	902972	934471	betalactone	1	2	False
GCF_030159855.1	NZ_BSNG01000001.1	3	1765519	1786362	terpene	1	3	False
GCF_030159855.1	NZ_BSNG01000003.1	1	53824	76102	redox-cofactor	1	1	False
GCF_030160115.1	NZ_BSNS01000002.1	1	261468	282122	hserlactone	1	1	False
GCF_030160115.1	NZ_BSNS01000007.1	1	146541	170167	LAP	1	1	False
GCF_030160115.1	NZ_BSNS01000007.1	2	612601	673384	acyl_amino_acids	1	2	False
GCF_030160115.1	NZ_BSNS01000008.1	1	43158	74255	betalactone	1	1	False
GCF_030160115.1	NZ_BSNS01000011.1	1	246407	257514	RiPP-like	1	1	False
GCF_030160115.1	NZ_BSNS01000020.1	1	375217	386144	RiPP-like	1	1	False
GCF_030160115.1	NZ_BSNS01000024.1	1	258688	279534	terpene	1	1	False
GCF_030177755.1	NZ_CP126539.1	1	989655	1010108	hserlactone	1	1	False
GCF_030177755.1	NZ_CP126539.1	2	2369713	2390562	terpene	1	2	False
GCF_030177755.1	NZ_CP126539.1	3	3004559	3014958	ectoine	1	3	False
GCF_030177755.1	NZ_CP126539.1	4	3218890	3279682	acyl_amino_acids	1	4	False
GCF_030285925.1	NZ_CP127251.1	1	1388169	1409012	terpene	1	1	False
GCF_030285925.1	NZ_CP127251.1	2	1878930	1909453	betalactone	1	2	False
GCF_032907385.1	NZ_JAIMBX010000001.1	1	753062	784384	betalactone	1	1	False
GCF_032907385.1	NZ_JAIMBX010000001.1	2	1110120	1130966	terpene	1	2	False
GCF_032907385.1	NZ_JAIMBX010000002.1	1	295635	356412	acyl_amino_acids	1	1	False
GCF_032907385.1	NZ_JAIMBX010000003.1	1	279266	301053	thioamitides	1	1	False
GCF_032907385.1	NZ_JAIMBX010000003.1	2	375617	396118	hserlactone	1	2	False
GCF_032907385.1	NZ_JAIMBX010000004.1	1	36182	56869	hserlactone	1	1	False
GCF_037113415.1	NZ_CP146608.1	1	291636	302029	ectoine	1	1	False
GCF_037113415.1	NZ_CP146608.1	2	370278	390929	hserlactone	1	2	False
GCF_037113415.1	NZ_CP146608.1	3	543619	554477	RiPP-like	1	3	False
GCF_037113415.1	NZ_CP146608.1	4	1518497	1539343	terpene	1	4	False
GCF_037113415.1	NZ_CP146608.1	5	2184159	2215975	betalactone	1	5	False
GCF_037113415.1	NZ_CP146608.1	6	2944230	2979062	hserlactone;thioamitides	3	6;7;8	False
GCF_040223715.1	NZ_JAVKFR010000006.1	1	75242	95989	hserlactone	1	1	False
GCF_040223715.1	NZ_JAVKFR010000010.1	1	0	14680	hserlactone	1	1	True
GCF_040223715.1	NZ_JAVKFR010000020.1	1	90075	110921	terpene	1	1	False
GCF_040223715.1	NZ_JAVKFR010000022.1	1	129424	139817	ectoine	1	1	False
GCF_040223715.1	NZ_JAVKFR010000024.1	1	93591	114032	hserlactone	1	1	False
GCF_040223715.1	NZ_JAVKFR010000033.1	1	0	10123	hserlactone	1	1	True
GCF_040223715.1	NZ_JAVKFR010000033.1	2	124494	135130	hserlactone	1	2	True
GCF_040223715.1	NZ_JAVKFR010000034.1	1	3286	14144	RiPP-like	1	1	True
GCF_040546795.1	NZ_JBEPOL010000001.1	1	129045	149888	terpene	1	1	False
GCF_040546795.1	NZ_JBEPOL010000002.1	1	450826	491912	T3PKS	1	1	False
GCF_040546795.1	NZ_JBEPOL010000003.1	1	78351	99110	hserlactone	1	1	False
GCF_040546795.1	NZ_JBEPOL010000004.1	1	440478	473445	betalactone	1	1	False
GCF_040546795.1	NZ_JBEPOL010000007.1	1	41049	61490	hserlactone	1	1	False
GCF_040546795.1	NZ_JBEPOL010000008.1	1	0	11062	hserlactone	1	1	True
GCF_040546795.1	NZ_JBEPOL010000009.1	1	88150	129236	T3PKS	1	1	False
GCF_040546795.1	NZ_JBEPOL010000012.1	1	48934	69594	hserlactone	1	1	False
GCF_040546815.1	NZ_JBEPOO010000001.1	1	255826	276282	hserlactone	1	1	False
GCF_040546815.1	NZ_JBEPOO010000001.1	2	1603915	1624764	terpene	1	2	False
GCF_042181575.1	NZ_CP170082.1	1	31110	51713	hserlactone	1	1	False
GCF_042181575.1	NZ_CP170082.1	2	770134	790881	hserlactone	1	2	False
GCF_042181575.1	NZ_CP170082.1	3	1074716	1095178	hserlactone	1	3	False
GCF_042181575.1	NZ_CP170082.1	4	2102307	2124851	RRE-containing;lassopeptide	3	4;5;6	False
GCF_042181575.1	NZ_CP170082.1	5	2571001	2591847	terpene	1	7	False
GCF_042181575.1	NZ_CP170082.1	6	2780922	2791315	ectoine	1	8	False
GCF_042181575.1	NZ_CP170082.1	7	3495691	3506549	RiPP-like	1	9	False
GCF_042181575.1	NZ_CP170084.1	1	70032	90362	hserlactone	1	1	True
GCF_042181575.1	NZ_CP170085.1	1	25831	46443	hserlactone	1	1	True
GCF_042431865.1	NZ_JBHLYO010000001.1	1	43163	74260	betalactone	1	1	False
GCF_042431865.1	NZ_JBHLYO010000004.1	1	295229	318873	LAP	1	1	False
GCF_042431865.1	NZ_JBHLYO010000010.1	1	570198	581305	RiPP-like	1	1	False
GCF_042431865.1	NZ_JBHLYO010000011.1	1	143204	163858	hserlactone	1	1	False
GCF_042431865.1	NZ_JBHLYO010000012.1	1	85012	145795	acyl_amino_acids	1	1	False
GCF_042431865.1	NZ_JBHLYO010000015.1	1	335369	356215	terpene	1	1	False
GCF_042431865.1	NZ_JBHLYO010000020.1	1	375222	386149	RiPP-like	1	1	False
GCF_042648785.1	NZ_JBHRYD010000001.1	1	79663	116876	terpene;betalactone	3	1;2;3	False
GCF_042648785.1	NZ_JBHRYD010000001.1	2	1006671	1067460	acyl_amino_acids	1	4	False
GCF_042648785.1	NZ_JBHRYD010000007.1	1	127118	147769	hserlactone	1	1	False
GCF_042648785.1	NZ_JBHRYD010000007.1	2	238070	286135	NRP-metallophore;NRPS	1	2	False
GCF_042679405.1	NZ_JBHTMH010000001.1	1	260842	293265	betalactone	1	1	False
GCF_042679405.1	NZ_JBHTMH010000001.1	2	626880	647720	terpene	1	2	False
GCF_042679405.1	NZ_JBHTMH010000001.1	3	2650458	2672338	thioamitides	1	3	False
GCF_042679405.1	NZ_JBHTMH010000003.1	1	170651	191110	hserlactone	1	1	False
GCF_042685625.1	NZ_JBHUNP010000001.1	1	920860	944422	terpene	1	1	False
GCF_042685625.1	NZ_JBHUNP010000001.1	2	1170706	1183571	hydrogen-cyanide	1	2	False
GCF_042685625.1	NZ_JBHUNP010000001.1	3	3683596	3704442	terpene	1	3	False
GCF_044987315.1	NZ_JBJDRE010000003.1	1	118646	150315	betalactone	1	1	False
GCF_044987315.1	NZ_JBJDRE010000009.1	1	116789	137632	terpene	1	1	False
GCF_044987315.1	NZ_JBJDRE010000010.1	1	109268	131546	redox-cofactor	1	1	False
GCF_044987315.1	NZ_JBJDRE010000012.1	1	83581	104037	hserlactone	1	1	False
GCF_046614475.1	NZ_JBKJHF010000001.1	1	911419	932151	hserlactone	1	1	False
GCF_046614475.1	NZ_JBKJHF010000001.1	2	1944992	1965838	terpene	1	2	False
GCF_046614475.1	NZ_JBKJHF010000001.1	3	2653873	2686049	betalactone	1	3	False
GCF_046614475.1	NZ_JBKJHF010000002.1	1	586093	606528	hserlactone	1	1	False
GCF_046614475.1	NZ_JBKJHF010000003.1	1	149139	169898	hserlactone	1	1	False
GCF_048261455.1	NZ_JBLXGA010000001.1	1	126702	150282	terpene	1	1	False
GCF_048261455.1	NZ_JBLXGA010000002.1	1	77784	90712	hydrogen-cyanide	1	1	False
GCF_048261455.1	NZ_JBLXGA010000003.1	1	233459	255381	thioamitides	1	1	False
GCF_048261455.1	NZ_JBLXGA010000004.1	1	200728	221565	terpene	1	1	False
GCF_048261455.1	NZ_JBLXGA010000009.1	1	83567	114087	betalactone	1	1	False
GCF_048261455.1	NZ_JBLXGA010000019.1	1	39109	49985	RiPP-like	1	1	True
GCF_049354815.1	NZ_CP186479.1	1	313900	334749	terpene	1	1	False
GCF_049354815.1	NZ_CP186479.1	2	1971655	1982468	RiPP-like	1	2	False
GCF_049354815.1	NZ_CP186479.1	3	4109326	4131224	thioamitides	1	3	False
GCF_051302775.1	NZ_JBNMEO010000001.1	1	88040	108496	hserlactone	1	1	False
GCF_051302775.1	NZ_JBNMEO010000006.1	1	36168	96951	acyl_amino_acids	1	1	False
GCF_051302775.1	NZ_JBNMEO010000008.1	1	75857	86250	ectoine	1	1	True
GCF_051302775.1	NZ_JBNMEO010000017.1	1	44765	52350	RiPP-like	1	1	True
GCF_051302775.1	NZ_JBNMEO010000091.1	1	0	10645	terpene	1	1	True
GCF_051302775.1	NZ_JBNMEO010000093.1	1	0	9989	betalactone	1	1	True
GCF_053550215.1	NZ_JBMQPQ010000006.1	1	55645	76329	hserlactone	1	1	False
GCF_053550215.1	NZ_JBMQPQ010000012.1	1	212862	233321	hserlactone	1	1	False
GCF_053550215.1	NZ_JBMQPQ010000013.1	1	107690	128536	terpene	1	1	True
GCF_053550215.1	NZ_JBMQPQ010000014.1	1	29187	61066	betalactone	1	1	False
GCF_054482695.1	NZ_JBTLRJ010000001.1	1	192421	212925	hserlactone	1	1	False
GCF_054482695.1	NZ_JBTLRJ010000001.1	2	915880	946770	betalactone	1	2	False
GCF_054482695.1	NZ_JBTLRJ010000001.1	3	1138977	1181854	NRPS-like	1	3	False
GCF_054482695.1	NZ_JBTLRJ010000002.1	1	265477	275870	ectoine	1	1	False
GCF_054482695.1	NZ_JBTLRJ010000002.1	2	654119	664977	RiPP-like	1	2	False
GCF_054482695.1	NZ_JBTLRJ010000003.1	1	259065	279911	terpene	1	1	False
GCF_054482695.1	NZ_JBTLRJ010000003.1	2	638265	650931	hserlactone	1	2	True
GCF_054482695.1	NZ_JBTLRJ010000005.1	1	213096	233750	hserlactone	1	1	True
GCF_054489345.1	NZ_JBTMWV010000001.1	1	491756	522764	betalactone	1	1	False
GCF_054489345.1	NZ_JBTMWV010000025.1	1	0	34958	NRPS-like;T1PKS	2	1;2	True
GCF_054489345.1	NZ_JBTMWV010000039.1	1	0	12666	hserlactone	1	1	True
GCF_054489345.1	NZ_JBTMWV010000004.1	1	13168	26026	hydrogen-cyanide	1	1	False
GCF_054489345.1	NZ_JBTMWV010000006.1	1	147310	168156	terpene	1	1	False
GCF_054489345.1	NZ_JBTMWV010000009.1	1	150976	171735	hserlactone	1	1	False
GCF_054489375.1	NZ_JBTMWU010000001.1	1	7014	29316	redox-cofactor	1	1	True
GCF_054489375.1	NZ_JBTMWU010000001.1	2	362086	382845	hserlactone	1	2	False
GCF_054489375.1	NZ_JBTMWU010000011.1	1	98484	111784	terpene	1	1	True
GCF_054489375.1	NZ_JBTMWU010000002.1	1	196313	227315	betalactone	1	1	False
GCF_054489375.1	NZ_JBTMWU010000004.1	1	0	44110	NRPS-like;T1PKS	2	1;2	True
GCF_054489375.1	NZ_JBTMWU010000004.1	2	163692	176550	hydrogen-cyanide	1	3	False
GCF_054605195.1	NZ_JBTSEP010000003.1	1	42072	64003	thioamitides	1	1	False
GCF_054605195.1	NZ_JBTSEP010000004.1	1	81475	102132	hserlactone	1	1	False
GCF_054605195.1	NZ_JBTSEP010000009.1	1	67162	78032	RiPP-like	1	1	False
GCF_054605195.1	NZ_JBTSEP010000011.1	1	41922	62768	terpene	1	1	False
GCF_054605195.1	NZ_JBTSEP010000065.1	1	0	10192	T1PKS	1	1	True
GCF_055397495.1	NZ_AP027921.1	1	1004656	1025415	hserlactone	1	1	False
GCF_055397495.1	NZ_AP027921.1	2	2264180	2284591	RRE-containing	1	2	False
GCF_055397495.1	NZ_AP027921.1	3	2962685	2983531	terpene	1	3	False
GCF_055397495.1	NZ_AP027921.1	4	3797512	3828623	betalactone	1	4	False
GCF_055633315.1	NZ_JBVKGV010000020.1	1	25583	36453	RiPP-like	1	1	False
GCF_055633315.1	NZ_JBVKGV010000026.1	1	0	33411	T1PKS	1	1	True
GCF_055633315.1	NZ_JBVKGV010000033.1	1	22976	35475	thioamitides	1	1	True
GCF_055633315.1	NZ_JBVKGV010000043.1	1	13473	25440	hserlactone	1	1	True
GCF_055633315.1	NZ_JBVKGV010000086.1	1	0	6402	terpene	1	1	True
GCF_055808475.1	NZ_CM147870.1	1	0	50374	acyl_amino_acids	1	1	True
GCF_055808475.1	NZ_CM147870.1	2	543680	564136	hserlactone	1	2	False
GCF_055808475.1	NZ_CM147870.1	3	1153928	1184782	betalactone	1	3	False
GCF_055808475.1	NZ_CM147870.1	4	1993268	2014114	terpene	1	4	False
GCF_055808475.1	NZ_CM147870.1	5	2693466	2703859	ectoine	1	5	False
GCF_055808475.1	NZ_CM147870.1	6	3053921	3064785	RiPP-like	1	6	False
GCF_055808595.1	NZ_CM147875.1	1	138061	149045	RiPP-like	1	1	False
GCF_055808595.1	NZ_CM147875.1	2	294938	316848	thioamitides	1	2	False
GCF_055808595.1	NZ_CM147875.1	3	541490	552363	RiPP-like	1	3	False
GCF_055808595.1	NZ_CM147875.1	4	2586883	2618034	betalactone	1	4	False
GCF_055808595.1	NZ_CM147875.1	5	2837526	2858357	terpene	1	5	False
GCF_056341075.1	NZ_CP094375.1	1	403469	424315	terpene	1	1	False
GCF_056341075.1	NZ_CP094375.1	2	2124853	2145312	hserlactone	1	2	False
GCF_056341075.1	NZ_CP094375.1	3	2569841	2590594	hserlactone	1	3	False
GCF_056341075.1	NZ_CP094375.1	4	3240549	3261203	hserlactone	1	4	False
GCF_056402875.1	NZ_JBFUGO010000004.1	1	117056	138870	thioamitides	1	1	False
GCF_056402875.1	NZ_JBFUGO010000008.1	1	76993	118076	T3PKS	1	1	False
GCF_056402875.1	NZ_JBFUGO010000010.1	1	338163	359000	terpene	1	1	False
GCF_056403495.1	NZ_JBFUFI010000005.1	1	52306	74132	thioamitides	1	1	False
GCF_056403495.1	NZ_JBFUFI010000008.1	1	105069	146152	T3PKS	1	1	False
GCF_056403495.1	NZ_JBFUFI010000016.1	1	31495	52332	terpene	1	1	False
GCF_056405135.1	NZ_JBFUCQ010000002.1	1	333736	354573	terpene	1	1	False
GCF_056405135.1	NZ_JBFUCQ010000005.1	1	52323	74149	thioamitides	1	1	False
GCF_056405135.1	NZ_JBFUCQ010000009.1	1	119962	153340	T3PKS	1	1	True
GCF_057657195.1	NZ_JBDGIY010000001.1	1	433631	453901	RRE-containing	1	1	False
GCF_057657195.1	NZ_JBDGIY010000001.1	2	530620	552512	thioamitides	1	2	False
GCF_057657195.1	NZ_JBDGIY010000001.1	3	594751	617044	redox-cofactor	1	3	False
GCF_057657195.1	NZ_JBDGIY010000001.1	4	1649457	1670291	terpene	1	4	False
GCF_057657195.1	NZ_JBDGIY010000001.1	5	3144752	3166659	thioamitides	1	5	False
GCF_058133495.1	NZ_JBYUNO010000001.1	1	165140	187741	lassopeptide;RRE-containing	1	1	False
GCF_058133495.1	NZ_JBYUNO010000001.1	2	1192251	1253019	acyl_amino_acids	1	2	False
GCF_058133495.1	NZ_JBYUNO010000002.1	1	575758	596622	terpene	1	1	False
GCF_058133495.1	NZ_JBYUNO010000003.1	1	423251	443731	hserlactone	1	1	False
GCF_058133495.1	NZ_JBYUNO010000003.1	2	594888	618483	terpene	1	2	False
GCF_058133665.1	NZ_JBYUNQ010000001.1	1	241325	264920	terpene	1	1	False
GCF_058133665.1	NZ_JBYUNQ010000001.1	2	415262	435721	hserlactone	1	2	False
GCF_058133665.1	NZ_JBYUNQ010000002.1	1	646850	707618	acyl_amino_acids	1	1	False
GCF_058133665.1	NZ_JBYUNQ010000004.1	1	417172	438036	terpene	1	1	False
GCF_058133665.1	NZ_JBYUNQ010000005.1	1	165523	188124	lassopeptide;RRE-containing	1	1	False
GCF_058806655.1	NZ_JBXAPX010000002.1	1	406981	427251	RRE-containing	1	1	False
GCF_058806655.1	NZ_JBXAPX010000002.1	2	591546	632629	T3PKS	1	2	False
GCF_058806655.1	NZ_JBXAPX010000004.1	1	72987	94873	thioamitides	1	1	False
GCF_058806655.1	NZ_JBXAPX010000004.1	2	239987	260827	terpene	1	2	False
GCF_058806655.1	NZ_JBXAPX010000005.1	1	247359	269975	lanthipeptide-class-iv	1	1	False
GCF_058806655.1	NZ_JBXAPX010000006.1	1	76823	99110	redox-cofactor	1	1	False
GCF_058806655.1	NZ_JBXAPX010000006.1	2	343694	365505	thioamitides	1	2	False
GCF_059070485.1	NZ_JCACVZ010000001.1	1	228769	249228	hserlactone	1	1	False
GCF_059070485.1	NZ_JCACVZ010000001.1	2	1097229	1127771	betalactone	1	2	False
GCF_059070485.1	NZ_JCACVZ010000001.1	3	1297443	1318289	terpene	1	3	False
GCF_059070485.1	NZ_JCACVZ010000001.1	4	2743068	2763716	hserlactone	1	4	False
GCF_900110945.1	NZ_FOFL01000002.1	1	185928	218520	betalactone	1	1	False
GCF_900110945.1	NZ_FOFL01000002.1	2	786842	807298	hserlactone	1	2	False
GCF_900110945.1	NZ_FOFL01000007.1	1	109595	122791	terpene	1	1	True
GCF_900112505.1	NZ_FOMB01000021.1	1	0	19608	hserlactone	1	1	True
GCF_900112505.1	NZ_FOMB01000021.1	2	30172	71240	T3PKS	1	2	False
GCF_900112505.1	NZ_FOMB01000051.1	1	0	15503	T3PKS	1	1	True
GCF_900112505.1	NZ_FOMB01000022.1	1	14395	34851	hserlactone	1	1	False
GCF_900112505.1	NZ_FOMB01000001.1	1	74736	95507	hserlactone	1	1	False
GCF_900112505.1	NZ_FOMB01000002.1	1	289252	310098	terpene	1	1	False
GCF_900112505.1	NZ_FOMB01000007.1	1	0	27525	betalactone	1	1	True
GCF_900112505.1	NZ_FOMB01000025.1	1	15213	44635	T3PKS	1	1	True
GCF_900116545.1	NZ_FPCK01000004.1	1	31509	52151	hserlactone	1	1	False
GCF_900116545.1	NZ_FPCK01000004.1	2	187890	211503	terpene	1	2	False
GCF_900116545.1	NZ_FPCK01000003.1	1	210515	220908	ectoine	1	1	False
GCF_900116545.1	NZ_FPCK01000001.1	1	272867	293326	hserlactone	1	1	False
GCF_900116545.1	NZ_FPCK01000001.1	2	1125195	1155864	betalactone	1	2	False
GCF_900116545.1	NZ_FPCK01000001.1	3	1563862	1584708	terpene	1	3	False
GCF_900128975.1	NZ_FQVC01000004.1	1	225349	257566	betalactone	1	1	False
GCF_900128975.1	NZ_FQVC01000005.1	1	56204	116963	acyl_amino_acids;hserlactone	1	1	False
GCF_900128975.1	NZ_FQVC01000003.1	1	219347	239785	hserlactone	1	1	False
GCF_900128975.1	NZ_FQVC01000002.1	1	290362	311208	terpene	1	1	False
GCF_900128975.1	NZ_FQVC01000008.1	1	115475	157926	NRPS-like	1	1	False
GCF_900128975.1	NZ_FQVC01000001.1	1	574523	637008	NRPS-like;T1PKS	3	1;2;3	False
GCF_900128975.1	NZ_FQVC01000010.1	1	26640	39483	hydrogen-cyanide	1	1	False
GCF_900128975.1	NZ_FQVC01000010.1	2	98300	108693	ectoine	1	2	False
GCF_900128975.1	NZ_FQVC01000014.1	1	79469	93838	hserlactone	1	1	True
GCF_900177655.1	NZ_FXWK01000002.1	1	13833	36800	lanthipeptide-class-ii	1	1	False
GCF_900177655.1	NZ_FXWK01000002.1	2	856766	877522	hserlactone	1	2	False
GCF_900177655.1	NZ_FXWK01000002.1	3	1025113	1067642	NRPS-like	1	3	False
GCF_900177655.1	NZ_FXWK01000001.1	1	344977	355370	ectoine	1	1	False
GCF_900177655.1	NZ_FXWK01000001.1	2	907757	928603	terpene	1	2	False
GCF_900177655.1	NZ_FXWK01000001.1	3	1185349	1208938	terpene	1	3	False
GCF_900177655.1	NZ_FXWK01000001.1	4	1544565	1576609	betalactone	1	4	False
GCF_900177655.1	NZ_FXWK01000001.1	5	2320270	2340729	hserlactone	1	5	False
GCF_900631955.1	NZ_UZWD01000022.1	1	82178	102637	hserlactone	1	1	False
GCF_900631955.1	NZ_UZWD01000029.1	1	7581	28935	thioamitides	1	1	True
GCF_900631955.1	NZ_UZWD01000036.1	1	36724	63300	betalactone	1	1	True
GCF_900631955.1	NZ_UZWD01000040.1	1	25402	46242	terpene	1	1	False
GCF_964252795.1	NZ_CAXUPH020000001.1	1	105145	125415	RRE-containing	1	1	False
GCF_964252795.1	NZ_CAXUPH020000001.1	2	293161	334244	T3PKS	1	2	False
GCF_964252795.1	NZ_CAXUPH020000003.1	1	203498	225387	thioamitides	1	1	False
GCF_964252795.1	NZ_CAXUPH020000003.1	2	385782	406622	terpene	1	2	False
GCF_964252795.1	NZ_CAXUPH020000005.1	1	256647	278934	redox-cofactor	1	1	False
GCF_964252795.1	NZ_CAXUPH020000005.1	2	529190	554553	thiopeptide;thioamitides	1	2	False
GCF_964252865.1	NZ_CAXUPK020000002.1	1	302470	322929	hserlactone	1	1	False
GCF_964252865.1	NZ_CAXUPK020000005.1	1	46578	78997	betalactone	1	1	False
GCF_964252865.1	NZ_CAXUPK020000005.1	2	285551	306397	terpene	1	2	False
GCF_964252865.1	NZ_CAXUPK020000007.1	1	86262	106907	hserlactone	1	1	False
GCF_965229025.1	NZ_OZ245853.1	1	261176	283065	thioamitides	1	1	False
GCF_965229025.1	NZ_OZ245853.1	2	1421885	1462950	T3PKS	1	2	False
GCF_965229025.1	NZ_OZ245853.1	3	1527658	1548498	terpene	1	3	False
GCF_965229025.1	NZ_OZ245853.1	4	3295998	3317902	thioamitides	1	4	False
GCF_977014175.1	NZ_CDRNJH010000001.1	1	65334	85979	hserlactone	1	1	False
GCF_977014175.1	NZ_CDRNJH010000001.1	2	1407309	1427768	hserlactone	1	2	False
GCF_977014175.1	NZ_CDRNJH010000001.1	3	2603178	2635035	betalactone	1	3	False
GCF_977014175.1	NZ_CDRNJH010000001.1	4	2942897	2963743	terpene	1	4	False
