accession	contig	region_number	max_similarity	n_mibig_hits	top_mibig_hit	novelty_category
GCF_042679405.1	NZ_JBHTMH010000001.1	2	0	0		novel
GCF_042679405.1	NZ_JBHTMH010000001.1	3	0	0		novel
GCF_042679405.1	NZ_JBHTMH010000003.1	1	27	3	BGC0002494	novel
GCF_042685625.1	NZ_JBHUNP010000001.1	1	100	10	BGC0000656	known
GCF_042685625.1	NZ_JBHUNP010000001.1	2	0	0		novel
GCF_042685625.1	NZ_JBHUNP010000001.1	3	0	0		novel
GCF_044987315.1	NZ_JBJDRE010000003.1	1	0	0		novel
GCF_044987315.1	NZ_JBJDRE010000009.1	1	0	0		novel
GCF_044987315.1	NZ_JBJDRE010000010.1	1	0	0		novel
GCF_044987315.1	NZ_JBJDRE010000012.1	1	0	0		novel
GCF_046614475.1	NZ_JBKJHF010000001.1	1	0	0		novel
GCF_046614475.1	NZ_JBKJHF010000001.1	2	0	0		novel
GCF_046614475.1	NZ_JBKJHF010000001.1	3	0	0		novel
GCF_046614475.1	NZ_JBKJHF010000002.1	1	0	0		novel
GCF_046614475.1	NZ_JBKJHF010000003.1	1	0	0		novel
GCF_048261455.1	NZ_JBLXGA010000001.1	1	100	10	BGC0000656	known
GCF_048261455.1	NZ_JBLXGA010000002.1	1	8	1	BGC0000433	novel
GCF_048261455.1	NZ_JBLXGA010000003.1	1	0	0		novel
GCF_048261455.1	NZ_JBLXGA010000004.1	1	0	0		novel
GCF_048261455.1	NZ_JBLXGA010000009.1	1	0	0		novel
GCF_048261455.1	NZ_JBLXGA010000019.1	1	0	0		novel
GCF_049354815.1	NZ_CP186479.1	1	0	0		novel
GCF_049354815.1	NZ_CP186479.1	2	0	0		novel
GCF_049354815.1	NZ_CP186479.1	3	0	0		novel
GCF_051302775.1	NZ_JBNMEO010000001.1	1	0	0		novel
GCF_051302775.1	NZ_JBNMEO010000006.1	1	100	1	BGC0001680	known
GCF_051302775.1	NZ_JBNMEO010000008.1	1	100	9	BGC0000856	known
GCF_051302775.1	NZ_JBNMEO010000017.1	1	0	0		novel
GCF_051302775.1	NZ_JBNMEO010000091.1	1	0	0		novel
GCF_051302775.1	NZ_JBNMEO010000093.1	1	0	0		novel
GCF_053550215.1	NZ_JBMQPQ010000006.1	1	0	0		novel
GCF_053550215.1	NZ_JBMQPQ010000012.1	1	0	0		novel
GCF_053550215.1	NZ_JBMQPQ010000013.1	1	0	0		novel
GCF_053550215.1	NZ_JBMQPQ010000014.1	1	10	1	BGC0001215	novel
GCF_054482695.1	NZ_JBTLRJ010000001.1	1	0	0		novel
GCF_054482695.1	NZ_JBTLRJ010000001.1	2	0	0		novel
GCF_054482695.1	NZ_JBTLRJ010000001.1	3	9	2	BGC0000799	novel
GCF_054482695.1	NZ_JBTLRJ010000002.1	1	80	9	BGC0000860	known
GCF_054482695.1	NZ_JBTLRJ010000002.1	2	0	0		novel
GCF_054482695.1	NZ_JBTLRJ010000003.1	1	0	0		novel
GCF_054482695.1	NZ_JBTLRJ010000003.1	2	0	0		novel
GCF_054482695.1	NZ_JBTLRJ010000005.1	1	0	0		novel
GCF_054489345.1	NZ_JBTMWV010000001.1	1	0	0		novel
GCF_054489345.1	NZ_JBTMWV010000025.1	1	8	1	BGC0000761	novel
GCF_054489345.1	NZ_JBTMWV010000039.1	1	0	0		novel
GCF_054489345.1	NZ_JBTMWV010000004.1	1	0	0		novel
GCF_054489345.1	NZ_JBTMWV010000006.1	1	0	0		novel
GCF_054489345.1	NZ_JBTMWV010000009.1	1	0	0		novel
GCF_054489375.1	NZ_JBTMWU010000001.1	1	0	0		novel
GCF_054489375.1	NZ_JBTMWU010000001.1	2	0	0		novel
GCF_054489375.1	NZ_JBTMWU010000011.1	1	0	0		novel
GCF_054489375.1	NZ_JBTMWU010000002.1	1	0	0		novel
GCF_054489375.1	NZ_JBTMWU010000004.1	1	8	1	BGC0000761	novel
GCF_054489375.1	NZ_JBTMWU010000004.1	2	0	0		novel
GCF_054605195.1	NZ_JBTSEP010000003.1	1	0	0		novel
GCF_054605195.1	NZ_JBTSEP010000004.1	1	0	0		novel
GCF_054605195.1	NZ_JBTSEP010000009.1	1	0	0		novel
GCF_054605195.1	NZ_JBTSEP010000011.1	1	0	0		novel
GCF_054605195.1	NZ_JBTSEP010000065.1	1	0	0		novel
GCF_055397495.1	NZ_AP027921.1	1	0	0		novel
GCF_055397495.1	NZ_AP027921.1	2	0	0		novel
GCF_055397495.1	NZ_AP027921.1	3	0	0		novel
GCF_055397495.1	NZ_AP027921.1	4	0	0		novel
GCF_055633315.1	NZ_JBVKGV010000020.1	1	0	0		novel
GCF_055633315.1	NZ_JBVKGV010000026.1	1	0	0		novel
GCF_055633315.1	NZ_JBVKGV010000033.1	1	0	0		novel
GCF_055633315.1	NZ_JBVKGV010000043.1	1	0	0		novel
GCF_055633315.1	NZ_JBVKGV010000086.1	1	0	0		novel
GCF_055808475.1	NZ_CM147870.1	1	100	1	BGC0001680	known
GCF_055808475.1	NZ_CM147870.1	2	0	0		novel
GCF_055808475.1	NZ_CM147870.1	3	0	0		novel
GCF_055808475.1	NZ_CM147870.1	4	0	0		novel
GCF_055808475.1	NZ_CM147870.1	5	100	9	BGC0000856	known
GCF_055808475.1	NZ_CM147870.1	6	0	0		novel
GCF_055808595.1	NZ_CM147875.1	1	0	0		novel
GCF_055808595.1	NZ_CM147875.1	2	0	0		novel
GCF_055808595.1	NZ_CM147875.1	3	0	0		novel
GCF_055808595.1	NZ_CM147875.1	4	0	0		novel
GCF_055808595.1	NZ_CM147875.1	5	0	0		novel
GCF_056341075.1	NZ_CP094375.1	1	0	0		novel
GCF_056341075.1	NZ_CP094375.1	2	0	0		novel
GCF_056341075.1	NZ_CP094375.1	3	0	0		novel
GCF_056341075.1	NZ_CP094375.1	4	0	0		novel
GCF_056402875.1	NZ_JBFUGO010000004.1	1	0	0		novel
GCF_056402875.1	NZ_JBFUGO010000008.1	1	0	0		novel
GCF_056402875.1	NZ_JBFUGO010000010.1	1	0	0		novel
GCF_056403495.1	NZ_JBFUFI010000005.1	1	0	0		novel
GCF_056403495.1	NZ_JBFUFI010000008.1	1	0	0		novel
GCF_056403495.1	NZ_JBFUFI010000016.1	1	0	0		novel
GCF_056405135.1	NZ_JBFUCQ010000002.1	1	0	0		novel
GCF_056405135.1	NZ_JBFUCQ010000005.1	1	0	0		novel
GCF_056405135.1	NZ_JBFUCQ010000009.1	1	0	0		novel
GCF_057657195.1	NZ_JBDGIY010000001.1	1	0	0		novel
GCF_057657195.1	NZ_JBDGIY010000001.1	2	0	0		novel
GCF_057657195.1	NZ_JBDGIY010000001.1	3	0	0		novel
GCF_057657195.1	NZ_JBDGIY010000001.1	4	0	0		novel
GCF_057657195.1	NZ_JBDGIY010000001.1	5	0	0		novel
GCF_058133495.1	NZ_JBYUNO010000001.1	1	25	2	BGC0001380	novel
GCF_058133495.1	NZ_JBYUNO010000001.1	2	0	0		novel
GCF_058133495.1	NZ_JBYUNO010000002.1	1	0	0		novel
GCF_058133495.1	NZ_JBYUNO010000003.1	1	0	0		novel
GCF_058133495.1	NZ_JBYUNO010000003.1	2	100	11	BGC0000656	known
GCF_058133665.1	NZ_JBYUNQ010000001.1	1	100	10	BGC0000656	known
GCF_058133665.1	NZ_JBYUNQ010000001.1	2	0	0		novel
GCF_058133665.1	NZ_JBYUNQ010000002.1	1	0	0		novel
GCF_058133665.1	NZ_JBYUNQ010000004.1	1	0	0		novel
GCF_058133665.1	NZ_JBYUNQ010000005.1	1	25	2	BGC0001380	novel
GCF_058806655.1	NZ_JBXAPX010000002.1	1	33	7	BGC0000323	related
GCF_058806655.1	NZ_JBXAPX010000002.1	2	7	2	BGC0001543	novel
GCF_058806655.1	NZ_JBXAPX010000004.1	1	0	0		novel
GCF_058806655.1	NZ_JBXAPX010000004.1	2	0	0		novel
GCF_058806655.1	NZ_JBXAPX010000005.1	1	7	2	BGC0001543	novel
GCF_058806655.1	NZ_JBXAPX010000006.1	1	0	0		novel
GCF_058806655.1	NZ_JBXAPX010000006.1	2	0	0		novel
GCF_059070485.1	NZ_JCACVZ010000001.1	1	0	0		novel
GCF_059070485.1	NZ_JCACVZ010000001.1	2	0	0		novel
GCF_059070485.1	NZ_JCACVZ010000001.1	3	0	0		novel
GCF_059070485.1	NZ_JCACVZ010000001.1	4	0	0		novel
GCF_900110945.1	NZ_FOFL01000002.1	1	0	0		novel
GCF_900110945.1	NZ_FOFL01000002.1	2	0	0		novel
GCF_900110945.1	NZ_FOFL01000007.1	1	0	0		novel
GCF_900112505.1	NZ_FOMB01000021.1	1	0	0		novel
GCF_900112505.1	NZ_FOMB01000021.1	2	0	0		novel
GCF_900112505.1	NZ_FOMB01000051.1	1	0	0		novel
GCF_900112505.1	NZ_FOMB01000022.1	1	0	0		novel
GCF_900112505.1	NZ_FOMB01000001.1	1	0	0		novel
GCF_900112505.1	NZ_FOMB01000002.1	1	0	0		novel
GCF_900112505.1	NZ_FOMB01000007.1	1	0	0		novel
GCF_900112505.1	NZ_FOMB01000025.1	1	0	0		novel
GCF_900116545.1	NZ_FPCK01000004.1	1	0	0		novel
GCF_900116545.1	NZ_FPCK01000004.1	2	100	10	BGC0000656	known
GCF_900116545.1	NZ_FPCK01000003.1	1	100	9	BGC0000856	known
GCF_900116545.1	NZ_FPCK01000001.1	1	0	0		novel
GCF_900116545.1	NZ_FPCK01000001.1	2	0	0		novel
GCF_900116545.1	NZ_FPCK01000001.1	3	0	0		novel
GCF_900128975.1	NZ_FQVC01000004.1	1	0	0		novel
GCF_900128975.1	NZ_FQVC01000005.1	1	0	0		novel
GCF_900128975.1	NZ_FQVC01000003.1	1	0	0		novel
GCF_900128975.1	NZ_FQVC01000002.1	1	0	0		novel
GCF_900128975.1	NZ_FQVC01000008.1	1	8	1	BGC0000433	novel
GCF_900128975.1	NZ_FQVC01000001.1	1	22	50	BGC0000025	novel
GCF_900128975.1	NZ_FQVC01000010.1	1	0	0		novel
GCF_900128975.1	NZ_FQVC01000010.1	2	100	9	BGC0000856	known
GCF_900128975.1	NZ_FQVC01000014.1	1	0	0		novel
GCF_900177655.1	NZ_FXWK01000002.1	1	0	0		novel
GCF_900177655.1	NZ_FXWK01000002.1	2	0	0		novel
GCF_900177655.1	NZ_FXWK01000002.1	3	0	0		novel
GCF_900177655.1	NZ_FXWK01000001.1	1	100	9	BGC0000856	known
GCF_900177655.1	NZ_FXWK01000001.1	2	0	0		novel
GCF_900177655.1	NZ_FXWK01000001.1	3	100	10	BGC0000656	known
GCF_900177655.1	NZ_FXWK01000001.1	4	0	0		novel
GCF_900177655.1	NZ_FXWK01000001.1	5	0	0		novel
GCF_900631955.1	NZ_UZWD01000022.1	1	27	3	BGC0002494	novel
GCF_900631955.1	NZ_UZWD01000029.1	1	0	0		novel
GCF_900631955.1	NZ_UZWD01000036.1	1	0	0		novel
GCF_900631955.1	NZ_UZWD01000040.1	1	0	0		novel
GCF_964252795.1	NZ_CAXUPH020000001.1	1	33	11	BGC0000323	related
GCF_964252795.1	NZ_CAXUPH020000001.1	2	18	3	BGC0000947	novel
GCF_964252795.1	NZ_CAXUPH020000003.1	1	0	0		novel
GCF_964252795.1	NZ_CAXUPH020000003.1	2	0	0		novel
GCF_964252795.1	NZ_CAXUPH020000005.1	1	0	0		novel
GCF_964252795.1	NZ_CAXUPH020000005.1	2	0	0		novel
GCF_964252865.1	NZ_CAXUPK020000002.1	1	0	0		novel
GCF_964252865.1	NZ_CAXUPK020000005.1	1	0	0		novel
GCF_964252865.1	NZ_CAXUPK020000005.1	2	0	0		novel
GCF_964252865.1	NZ_CAXUPK020000007.1	1	0	0		novel
GCF_965229025.1	NZ_OZ245853.1	1	0	0		novel
GCF_965229025.1	NZ_OZ245853.1	2	0	0		novel
GCF_965229025.1	NZ_OZ245853.1	3	0	0		novel
GCF_965229025.1	NZ_OZ245853.1	4	0	0		novel
GCF_977014175.1	NZ_CDRNJH010000001.1	1	0	0		novel
GCF_977014175.1	NZ_CDRNJH010000001.1	2	0	0		novel
GCF_977014175.1	NZ_CDRNJH010000001.1	3	10	1	BGC0001215	novel
GCF_977014175.1	NZ_CDRNJH010000001.1	4	0	0		novel
