accession	contig	products
GCF_054489375.1	NZ_JBTMWU010000004.1	NRPS-like;T1PKS
GCF_054489375.1	NZ_JBTMWU010000004.1	hydrogen-cyanide
GCF_054605195.1	NZ_JBTSEP010000003.1	thioamitides
GCF_054605195.1	NZ_JBTSEP010000004.1	hserlactone
GCF_054605195.1	NZ_JBTSEP010000009.1	RiPP-like
GCF_054605195.1	NZ_JBTSEP010000011.1	terpene
GCF_054605195.1	NZ_JBTSEP010000065.1	T1PKS
GCF_055397495.1	NZ_AP027921.1	hserlactone
GCF_055397495.1	NZ_AP027921.1	RRE-containing
GCF_055397495.1	NZ_AP027921.1	terpene
GCF_055397495.1	NZ_AP027921.1	betalactone
GCF_055633315.1	NZ_JBVKGV010000020.1	RiPP-like
GCF_055633315.1	NZ_JBVKGV010000026.1	T1PKS
GCF_055633315.1	NZ_JBVKGV010000033.1	thioamitides
GCF_055633315.1	NZ_JBVKGV010000043.1	hserlactone
GCF_055633315.1	NZ_JBVKGV010000086.1	terpene
GCF_055808475.1	NZ_CM147870.1	acyl_amino_acids
GCF_055808475.1	NZ_CM147870.1	hserlactone
GCF_055808475.1	NZ_CM147870.1	betalactone
GCF_055808475.1	NZ_CM147870.1	terpene
GCF_055808475.1	NZ_CM147870.1	ectoine
GCF_055808475.1	NZ_CM147870.1	RiPP-like
GCF_055808595.1	NZ_CM147875.1	RiPP-like
GCF_055808595.1	NZ_CM147875.1	thioamitides
GCF_055808595.1	NZ_CM147875.1	RiPP-like
GCF_055808595.1	NZ_CM147875.1	betalactone
GCF_055808595.1	NZ_CM147875.1	terpene
GCF_056341075.1	NZ_CP094375.1	terpene
GCF_056341075.1	NZ_CP094375.1	hserlactone
GCF_056341075.1	NZ_CP094375.1	hserlactone
GCF_056341075.1	NZ_CP094375.1	hserlactone
GCF_056402875.1	NZ_JBFUGO010000004.1	thioamitides
GCF_056402875.1	NZ_JBFUGO010000008.1	T3PKS
GCF_056402875.1	NZ_JBFUGO010000010.1	terpene
GCF_056403495.1	NZ_JBFUFI010000005.1	thioamitides
GCF_056403495.1	NZ_JBFUFI010000008.1	T3PKS
GCF_056403495.1	NZ_JBFUFI010000016.1	terpene
GCF_056405135.1	NZ_JBFUCQ010000002.1	terpene
GCF_056405135.1	NZ_JBFUCQ010000005.1	thioamitides
GCF_056405135.1	NZ_JBFUCQ010000009.1	T3PKS
GCF_057657195.1	NZ_JBDGIY010000001.1	RRE-containing
GCF_057657195.1	NZ_JBDGIY010000001.1	thioamitides
GCF_057657195.1	NZ_JBDGIY010000001.1	redox-cofactor
GCF_057657195.1	NZ_JBDGIY010000001.1	terpene
GCF_057657195.1	NZ_JBDGIY010000001.1	thioamitides
GCF_058133495.1	NZ_JBYUNO010000001.1	lassopeptide;RRE-containing
GCF_058133495.1	NZ_JBYUNO010000001.1	acyl_amino_acids
GCF_058133495.1	NZ_JBYUNO010000002.1	terpene
GCF_058133495.1	NZ_JBYUNO010000003.1	hserlactone
GCF_058133495.1	NZ_JBYUNO010000003.1	terpene
GCF_058133665.1	NZ_JBYUNQ010000001.1	terpene
GCF_058133665.1	NZ_JBYUNQ010000001.1	hserlactone
GCF_058133665.1	NZ_JBYUNQ010000002.1	acyl_amino_acids
GCF_058133665.1	NZ_JBYUNQ010000004.1	terpene
GCF_058133665.1	NZ_JBYUNQ010000005.1	lassopeptide;RRE-containing
GCF_058806655.1	NZ_JBXAPX010000002.1	RRE-containing
GCF_058806655.1	NZ_JBXAPX010000002.1	T3PKS
GCF_058806655.1	NZ_JBXAPX010000004.1	thioamitides
GCF_058806655.1	NZ_JBXAPX010000004.1	terpene
GCF_058806655.1	NZ_JBXAPX010000005.1	lanthipeptide-class-iv
GCF_058806655.1	NZ_JBXAPX010000006.1	redox-cofactor
GCF_058806655.1	NZ_JBXAPX010000006.1	thioamitides
GCF_059070485.1	NZ_JCACVZ010000001.1	hserlactone
GCF_059070485.1	NZ_JCACVZ010000001.1	betalactone
GCF_059070485.1	NZ_JCACVZ010000001.1	terpene
GCF_059070485.1	NZ_JCACVZ010000001.1	hserlactone
GCF_900110945.1	NZ_FOFL01000002.1	betalactone
GCF_900110945.1	NZ_FOFL01000002.1	hserlactone
GCF_900110945.1	NZ_FOFL01000007.1	terpene
GCF_900112505.1	NZ_FOMB01000021.1	hserlactone
GCF_900112505.1	NZ_FOMB01000021.1	T3PKS
GCF_900112505.1	NZ_FOMB01000051.1	T3PKS
GCF_900112505.1	NZ_FOMB01000022.1	hserlactone
GCF_900112505.1	NZ_FOMB01000001.1	hserlactone
GCF_900112505.1	NZ_FOMB01000002.1	terpene
GCF_900112505.1	NZ_FOMB01000007.1	betalactone
GCF_900112505.1	NZ_FOMB01000025.1	T3PKS
GCF_900116545.1	NZ_FPCK01000004.1	hserlactone
GCF_900116545.1	NZ_FPCK01000004.1	terpene
GCF_900116545.1	NZ_FPCK01000003.1	ectoine
GCF_900116545.1	NZ_FPCK01000001.1	hserlactone
GCF_900116545.1	NZ_FPCK01000001.1	betalactone
GCF_900116545.1	NZ_FPCK01000001.1	terpene
GCF_900128975.1	NZ_FQVC01000004.1	betalactone
GCF_900128975.1	NZ_FQVC01000005.1	acyl_amino_acids;hserlactone
GCF_900128975.1	NZ_FQVC01000003.1	hserlactone
GCF_900128975.1	NZ_FQVC01000002.1	terpene
GCF_900128975.1	NZ_FQVC01000008.1	NRPS-like
GCF_900128975.1	NZ_FQVC01000001.1	NRPS-like;T1PKS
GCF_900128975.1	NZ_FQVC01000010.1	hydrogen-cyanide
GCF_900128975.1	NZ_FQVC01000010.1	ectoine
GCF_900128975.1	NZ_FQVC01000014.1	hserlactone
GCF_900177655.1	NZ_FXWK01000002.1	lanthipeptide-class-ii
GCF_900177655.1	NZ_FXWK01000002.1	hserlactone
GCF_900177655.1	NZ_FXWK01000002.1	NRPS-like
GCF_900177655.1	NZ_FXWK01000001.1	ectoine
GCF_900177655.1	NZ_FXWK01000001.1	terpene
GCF_900177655.1	NZ_FXWK01000001.1	terpene
GCF_900177655.1	NZ_FXWK01000001.1	betalactone
GCF_900177655.1	NZ_FXWK01000001.1	hserlactone
GCF_900631955.1	NZ_UZWD01000022.1	hserlactone
GCF_900631955.1	NZ_UZWD01000029.1	thioamitides
GCF_900631955.1	NZ_UZWD01000036.1	betalactone
GCF_900631955.1	NZ_UZWD01000040.1	terpene
GCF_964252795.1	NZ_CAXUPH020000001.1	RRE-containing
GCF_964252795.1	NZ_CAXUPH020000001.1	T3PKS
GCF_964252795.1	NZ_CAXUPH020000003.1	thioamitides
GCF_964252795.1	NZ_CAXUPH020000003.1	terpene
GCF_964252795.1	NZ_CAXUPH020000005.1	redox-cofactor
GCF_964252795.1	NZ_CAXUPH020000005.1	thiopeptide;thioamitides
GCF_964252865.1	NZ_CAXUPK020000002.1	hserlactone
GCF_964252865.1	NZ_CAXUPK020000005.1	betalactone
GCF_964252865.1	NZ_CAXUPK020000005.1	terpene
GCF_964252865.1	NZ_CAXUPK020000007.1	hserlactone
GCF_965229025.1	NZ_OZ245853.1	thioamitides
GCF_965229025.1	NZ_OZ245853.1	T3PKS
GCF_965229025.1	NZ_OZ245853.1	terpene
GCF_965229025.1	NZ_OZ245853.1	thioamitides
GCF_977014175.1	NZ_CDRNJH010000001.1	hserlactone
GCF_977014175.1	NZ_CDRNJH010000001.1	hserlactone
GCF_977014175.1	NZ_CDRNJH010000001.1	betalactone
GCF_977014175.1	NZ_CDRNJH010000001.1	terpene
